source	source_version	role	status	provenance	selected_type	repository_full_name	commit_sha	tree_sha	dsc_sha256
gooroom-security-utils	0.3.7+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/gooroom-security-utils	bf71213bb3a61fccb7b736151c8814b9975894d6	c91c872121b780ced52a7df3f4ddf9fda73eff39	
gooroom-session-manager	0.3.9+grm3u1+han3u2	rebuild-arm64	unresolved-exact-source						
gooroom-showdesktop-applet	0.2.0+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-showdesktop-applet	7a296d9d0b9c35c01014f08495cc6da347f07ca0	d139bced2ae046922d3c0e35dc8357551245b6a3	
gooroom-software	3.30.6+5+grm3u6	rebuild-arm64	resolved	verified-native-arm64-build-exact-git	git	gooroom/gooroom-software	2aedea76a1c77853d80ec2d05cbfcbec48879eaf	5181988d917696bc0159edae219f1dcb5dd5fe09	
gooroom-translations	20230728+han3u1	reuse-all	unresolved-exact-source						
gooroom-update	1.3.3+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/gooroom-update	77c1b2c089474694cc43890a2909474195e60307	d78f4852a478795b802230c43c06a93e8c2fe0f4	
gooroom-yelp-adjustments	0.3.10+han3u1	reuse-all	resolved	github-exact-commit	git	hancomgooroom/gooroom-yelp-adjustments	a6c805e5ce0fc1e9c6a91737b6c5621e0ee8e34e	70555ad741c77011ff01c74b002adad64a097933	
gooroomsystem	1.1.3+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/gooroomsystem	4ffafbff7cfd57191b24a9621acfd36ef97b4aa5	c5d4e1311b16547ff077c8adc86c34549cdf0110	
gtk+2.0	2.24.33-2+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gtk2	dd67a4d4c36d6b0a178663d0fe192cadf836877d	8020c98e6206a576e3a6049962be7ad10b5b8333	
gtk+3.0	3.24.24-4+grm3u2	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gtk3	b566a9d629f2f6ce1b2bf415c102a15a1d2d2495	e6d2a53b942106b26c58d54a8a52edfde7dea3ae	
hancom-gooroom-themepack	0.3.3+han3u1	reuse-all	resolved	github-exact-commit	git	hancomgooroom/hancom-gooroom-themepack	b6c43160b8cc70feb3326b79a8d47baaab3578a3	da35fa4c0b8d42064a00d889fbd49c7c9f7d9b3b	
hancom-toolkit	0.3.3+han3u1	rebuild-arm64	resolved	github-exact-commit	git	hancomgooroom/hancom-toolkit	57d9ca6f5a066dc801149c78edb5175c27a05ecc	cb1f9edd051b6521442a15ebadc95e4b82718f05	
hancom-viewer-installer	0.2.2+han3u1	rebuild-arm64	resolved	github-exact-commit	git	hancom-io/hancom-viewer-installer	883c293b0a23e7bd47e54ef0a5edf3d26b7906b9	b394ff18973f4c0ce3d594845e0f6be3360ac250	
hancomgrm-adjustments-utils	0.3.3+han3u1	rebuild-arm64	resolved	github-exact-commit	git	hancomgooroom/hancomgrm-adjustments-utils	2f8d22c40c79922bdb444fe787bd05f7d55f10e6	c9bf9631d38a6c95af97f80affbd71fe534a94c6	
