reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libinput10	1.16.4-3	amd64	libinput	1.16.4-3	libinput10	arm64	native-arm64	exact-binary-and-source-version	1.16.4-3	6c7105bcef7a870b18d1be588790938985b0f0ca9c6d42608f5f5238893da259	6c7105bcef7a870b18d1be588790938985b0f0ca9c6d42608f5f5238893da259-libinput10_1.16.4-3_arm64.deb
libinstpatch-1.0-2	1.1.6-1	amd64	libinstpatch	1.1.6-1	libinstpatch-1.0-2	arm64	native-arm64	exact-binary-and-source-version	1.1.6-1	c24d1ef774b0cd16baf38f8c45d6081e38e515674cb4a5b7d27a7e853576be3e	c24d1ef774b0cd16baf38f8c45d6081e38e515674cb4a5b7d27a7e853576be3e-libinstpatch-1.0-2_1.1.6-1_arm64.deb
libip4tc2	1.8.7-1	amd64	iptables	1.8.7-1	libip4tc2	arm64	native-arm64	exact-binary-and-source-version	1.8.7-1	d1fe2f3f384c2c9205b33822d6510c5f1f68d93f3ce487638d162b9667ff1f27	d1fe2f3f384c2c9205b33822d6510c5f1f68d93f3ce487638d162b9667ff1f27-libip4tc2_1.8.7-1_arm64.deb
libip6tc2	1.8.7-1	amd64	iptables	1.8.7-1	libip6tc2	arm64	native-arm64	exact-binary-and-source-version	1.8.7-1	40a45ce5fa8b3926efc281cab4d0ba9846dee18295c9374ad8917c7dbb113b2e	40a45ce5fa8b3926efc281cab4d0ba9846dee18295c9374ad8917c7dbb113b2e-libip6tc2_1.8.7-1_arm64.deb
libiptcdata0	1.0.5-2.3	amd64	libiptcdata	1.0.5-2.3	libiptcdata0	arm64	native-arm64	exact-binary-and-source-version	1.0.5-2.3	c446fd1ad81415adcfa585515fd61ba92ad9dcd9d94a68256803169abb969fc9	c446fd1ad81415adcfa585515fd61ba92ad9dcd9d94a68256803169abb969fc9-libiptcdata0_1.0.5-2.3_arm64.deb
libisc-export1105	1:9.11.19+dfsg-2.1	amd64	bind9-libs	1:9.11.19+dfsg-2.1	libisc-export1105	arm64	native-arm64	exact-binary-and-source-version	1:9.11.19+dfsg-2.1	542502117e0b9703ce2f14d2ed6960b44c5aa5c9bc4eb20ac75c563b1c7c86b5	542502117e0b9703ce2f14d2ed6960b44c5aa5c9bc4eb20ac75c563b1c7c86b5-libisc-export1105_1%3a9.11.19+dfsg-2.1_arm64.deb
libisl23	0.23-1	amd64	isl	0.23-1	libisl23	arm64	native-arm64	exact-binary-and-source-version	0.23-1	23a7093e1b950f84faf56d35cba03f981d63e0199f5747df2706ef0401792804	23a7093e1b950f84faf56d35cba03f981d63e0199f5747df2706ef0401792804-libisl23_0.23-1_arm64.deb
libjack-jackd2-0	1.9.17~dfsg-1	amd64	jackd2	1.9.17~dfsg-1	libjack-jackd2-0	arm64	native-arm64	exact-binary-and-source-version	1.9.17~dfsg-1	bf6470c02225641ff4f2baaf5b724a41a175dacbc7195d90d695404ce00afdc1	bf6470c02225641ff4f2baaf5b724a41a175dacbc7195d90d695404ce00afdc1-libjack-jackd2-0_1.9.17~dfsg-1_arm64.deb
libjansson4	2.13.1-1.1	amd64	jansson	2.13.1-1.1	libjansson4	arm64	native-arm64	exact-binary-and-source-version	2.13.1-1.1	988b8ed5d8b6299409937a111ec8279c915b1ab185e570ba12c913232528bf07	988b8ed5d8b6299409937a111ec8279c915b1ab185e570ba12c913232528bf07-libjansson4_2.13.1-1.1_arm64.deb
libjavascriptcoregtk-4.0-18	2.40.3-2~deb11u2	amd64	webkit2gtk	2.40.3-2~deb11u2	libjavascriptcoregtk-4.0-18	arm64	native-arm64	exact-binary-and-source-version	2.40.3-2~deb11u2	472da98b489558c6666f1c14b1fe729f0ee55e029650ae4cf92740eb050ec9a8	472da98b489558c6666f1c14b1fe729f0ee55e029650ae4cf92740eb050ec9a8-libjavascriptcoregtk-4.0-18_2.40.3-2~deb11u2_arm64.deb
