reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libgnome-desktop-3-19	3.38.5-3	amd64	gnome-desktop3	3.38.5-3	libgnome-desktop-3-19	arm64	native-arm64	exact-binary-and-source-version	3.38.5-3	6c83bf91e045a5164d6c3fa967870eff608d962c4a144e8025cbfc8a387b4eda	6c83bf91e045a5164d6c3fa967870eff608d962c4a144e8025cbfc8a387b4eda-libgnome-desktop-3-19_3.38.5-3_arm64.deb
libgnome-menu-3-0	3.36.0-1	amd64	gnome-menus	3.36.0-1	libgnome-menu-3-0	arm64	native-arm64	exact-binary-and-source-version	3.36.0-1	357b01521b93e27b831dd61c91f12c13cccf27a71c1382993c1ec0a5878e633d	357b01521b93e27b831dd61c91f12c13cccf27a71c1382993c1ec0a5878e633d-libgnome-menu-3-0_3.36.0-1_arm64.deb
libgnome-panel0	3.38.0-1+grm3u1	amd64	gnome-panel	3.38.0-1+grm3u1	libgnome-panel0	arm64	native-arm64	exact-binary-and-source-version	3.38.0-1+grm3u1	5bd04c57c8c4ef8843b3ed6759892f450973bf9e8e57100585ee842b65ca12d7	5bd04c57c8c4ef8843b3ed6759892f450973bf9e8e57100585ee842b65ca12d7-libgnome-panel0_3.38.0-1+grm3u1_arm64.deb
libgnomekbd-common	3.26.1-1	all	libgnomekbd	3.26.1-1	libgnomekbd-common	all	reuse-all	exact-binary-and-source-version	3.26.1-1	79623dcca68a0390789333ebcf7c1fe139414c7602c96a8d1da315d057b02392	79623dcca68a0390789333ebcf7c1fe139414c7602c96a8d1da315d057b02392-libgnomekbd-common_3.26.1-1_all.deb
libgnomekbd8	3.26.1-1	amd64	libgnomekbd	3.26.1-1	libgnomekbd8	arm64	native-arm64	exact-binary-and-source-version	3.26.1-1	bffeae8c6d57d7fbf2bae6f25b89e0bd84a40c43df00e80fb87319ae9ee5b05f	bffeae8c6d57d7fbf2bae6f25b89e0bd84a40c43df00e80fb87319ae9ee5b05f-libgnomekbd8_3.26.1-1_arm64.deb
libgnutls30	3.7.1-5+deb11u3	amd64	gnutls28	3.7.1-5+deb11u3	libgnutls30	arm64	native-arm64	exact-binary-and-source-version	3.7.1-5+deb11u3	19a1a0dfc9b6975f155afa2d0e60696a31444b2999f5ff619af247811cb41837	19a1a0dfc9b6975f155afa2d0e60696a31444b2999f5ff619af247811cb41837-libgnutls30_3.7.1-5+deb11u3_arm64.deb
libgoa-1.0-0b	3.38.0-3	amd64	gnome-online-accounts	3.38.0-3	libgoa-1.0-0b	arm64	native-arm64	exact-binary-and-source-version	3.38.0-3	5e1a60efd444d54eb14cd57b3668810c8f808a6f0cc32179e0a3a2f0d2cf609f	5e1a60efd444d54eb14cd57b3668810c8f808a6f0cc32179e0a3a2f0d2cf609f-libgoa-1.0-0b_3.38.0-3_arm64.deb
libgoa-1.0-common	3.38.0-3	all	gnome-online-accounts	3.38.0-3	libgoa-1.0-common	all	reuse-all	exact-binary-and-source-version	3.38.0-3	550061d2f1eaebe278f6f24c499d49ed43f463e5ea13bb8ec77453d03c2e4296	550061d2f1eaebe278f6f24c499d49ed43f463e5ea13bb8ec77453d03c2e4296-libgoa-1.0-common_3.38.0-3_all.deb
libgomp1	10.2.1-6	amd64	gcc-10	10.2.1-6	libgomp1	arm64	native-arm64	exact-binary-and-source-version	10.2.1-6	813af2e0b8ba0a7cea18c988cd843412ef6d0415700fc860d62816750e741670	813af2e0b8ba0a7cea18c988cd843412ef6d0415700fc860d62816750e741670-libgomp1_10.2.1-6_arm64.deb
libgpg-error0	1.38-2	amd64	libgpg-error	1.38-2	libgpg-error0	arm64	native-arm64	exact-binary-and-source-version	1.38-2	d1116f4281d6db35279799a21051e0d0e2600d110d7ee2b95b3cca6bec28067c	d1116f4281d6db35279799a21051e0d0e2600d110d7ee2b95b3cca6bec28067c-libgpg-error0_1.38-2_arm64.deb
libgpgme11	1.14.0-1+b2	amd64	gpgme1.0	1.14.0-1	libgpgme11	arm64	native-arm64	exact-binary-and-source-version	1.14.0-1+b2	be4754a10aa94fd68cd977ce48ad9dc61bf76523da71780ff82c00d564e0e6e9	be4754a10aa94fd68cd977ce48ad9dc61bf76523da71780ff82c00d564e0e6e9-libgpgme11_1.14.0-1+b2_arm64.deb
libgphoto2-6	2.5.27-1	amd64	libgphoto2	2.5.27-1	libgphoto2-6	arm64	native-arm64	exact-binary-and-source-version	2.5.27-1	b83525eb32514b47362ab6b8c16f37f002d9a531405b1dbdaed9dd20de19b61a	b83525eb32514b47362ab6b8c16f37f002d9a531405b1dbdaed9dd20de19b61a-libgphoto2-6_2.5.27-1_arm64.deb
libgphoto2-port12	2.5.27-1	amd64	libgphoto2	2.5.27-1	libgphoto2-port12	arm64	native-arm64	exact-binary-and-source-version	2.5.27-1	64892ba635e3f67816748d33700262d73a0b727fd31c89c5f260eceff0c9bbea	64892ba635e3f67816748d33700262d73a0b727fd31c89c5f260eceff0c9bbea-libgphoto2-port12_2.5.27-1_arm64.deb
libgpm2	1.20.7-8	amd64	gpm	1.20.7-8	libgpm2	arm64	native-arm64	exact-binary-and-source-version	1.20.7-8	367a548386f1297c937af6ed548bdcaa4db25f11c1a7495c45978826da61deb8	367a548386f1297c937af6ed548bdcaa4db25f11c1a7495c45978826da61deb8-libgpm2_1.20.7-8_arm64.deb
libgraphite2-3	1.3.14-1	amd64	graphite2	1.3.14-1	libgraphite2-3	arm64	native-arm64	exact-binary-and-source-version	1.3.14-1	473362a74ba74ae630fc43675460fb5a1058564a635a301875e00f1c6f9b27cb	473362a74ba74ae630fc43675460fb5a1058564a635a301875e00f1c6f9b27cb-libgraphite2-3_1.3.14-1_arm64.deb
libgs9	9.53.3~dfsg-7+deb11u5	amd64	ghostscript	9.53.3~dfsg-7+deb11u5	libgs9	arm64	native-arm64	exact-binary-and-source-version	9.53.3~dfsg-7+deb11u5	f0f54c2f4ad20b75b4f0c5b3e8fb5ab84ec6f63d3199b708c968791ca1e030f5	f0f54c2f4ad20b75b4f0c5b3e8fb5ab84ec6f63d3199b708c968791ca1e030f5-libgs9_9.53.3~dfsg-7+deb11u5_arm64.deb
libgs9-common	9.53.3~dfsg-7+deb11u5	all	ghostscript	9.53.3~dfsg-7+deb11u5	libgs9-common	all	reuse-all	exact-binary-and-source-version	9.53.3~dfsg-7+deb11u5	c537409aa767ea61d70284899ba2810c490f8e19232b2302d6bd7d278b2ac16e	c537409aa767ea61d70284899ba2810c490f8e19232b2302d6bd7d278b2ac16e-libgs9-common_9.53.3~dfsg-7+deb11u5_all.deb
libgsf-1-114	1.14.47-1	amd64	libgsf	1.14.47-1	libgsf-1-114	arm64	native-arm64	exact-binary-and-source-version	1.14.47-1	49f53fe1b816288aec21ec14f2f2087c893e73b3f623972991008f87b064562c	49f53fe1b816288aec21ec14f2f2087c893e73b3f623972991008f87b064562c-libgsf-1-114_1.14.47-1_arm64.deb
libgsf-1-common	1.14.47-1	all	libgsf	1.14.47-1	libgsf-1-common	all	reuse-all	exact-binary-and-source-version	1.14.47-1	5ffdce0bd5391dd6243ea530507d8248e99bda0c169af92753da27d7667a2c12	5ffdce0bd5391dd6243ea530507d8248e99bda0c169af92753da27d7667a2c12-libgsf-1-common_1.14.47-1_all.deb
libgsm1	1.0.18-2	amd64	libgsm	1.0.18-2	libgsm1	arm64	native-arm64	exact-binary-and-source-version	1.0.18-2	f7ea67da4f664d6c7b49ca7f31bf6c5fee61e2ff679da61d0613efbb0fdd6cb9	f7ea67da4f664d6c7b49ca7f31bf6c5fee61e2ff679da61d0613efbb0fdd6cb9-libgsm1_1.0.18-2_arm64.deb
libgsound0	1.0.2-5	amd64	gsound	1.0.2-5	libgsound0	arm64	native-arm64	exact-binary-and-source-version	1.0.2-5	6a349d434c646d1b8828e84d92b158e89033edd03f58efc11a9835d6ffa9592c	6a349d434c646d1b8828e84d92b158e89033edd03f58efc11a9835d6ffa9592c-libgsound0_1.0.2-5_arm64.deb
libgspell-1-2	1.8.4-1	amd64	gspell	1.8.4-1	libgspell-1-2	arm64	native-arm64	exact-binary-and-source-version	1.8.4-1	b969ffe083deb25d2814df8e832ab09327d602f374bf4c036b149ff257ee9a70	b969ffe083deb25d2814df8e832ab09327d602f374bf4c036b149ff257ee9a70-libgspell-1-2_1.8.4-1_arm64.deb
libgspell-1-common	1.8.4-1	all	gspell	1.8.4-1	libgspell-1-common	all	reuse-all	exact-binary-and-source-version	1.8.4-1	0287eaa5bb2c46be6003457ce9af500aee53fe9dcff6dd664a194639ddba88a4	0287eaa5bb2c46be6003457ce9af500aee53fe9dcff6dd664a194639ddba88a4-libgspell-1-common_1.8.4-1_all.deb
libgssapi-krb5-2	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libgssapi-krb5-2	arm64	native-arm64	exact-binary-and-source-version	1.18.3-6+deb11u3	dbfa98b48e405dd5febdfb95095fb3ac3659d9c9c7baa29b16904fa6b65b7a2b	dbfa98b48e405dd5febdfb95095fb3ac3659d9c9c7baa29b16904fa6b65b7a2b-libgssapi-krb5-2_1.18.3-6+deb11u3_arm64.deb
libgssdp-1.2-0	1.2.3-2	amd64	gssdp	1.2.3-2	libgssdp-1.2-0	arm64	native-arm64	exact-binary-and-source-version	1.2.3-2	817b986d52438f86709fcdbe6b8c5b55a3bcbb445c10feeb52824a95d148a322	817b986d52438f86709fcdbe6b8c5b55a3bcbb445c10feeb52824a95d148a322-libgssdp-1.2-0_1.2.3-2_arm64.deb
libgstreamer-gl1.0-0	1.18.4-2+deb11u1	amd64	gst-plugins-base1.0	1.18.4-2+deb11u1	libgstreamer-gl1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.18.4-2+deb11u1	67d292fe84ea1dc79bbfafe54d66687911c302b8764ddf520c76d4d685dea1a4	67d292fe84ea1dc79bbfafe54d66687911c302b8764ddf520c76d4d685dea1a4-libgstreamer-gl1.0-0_1.18.4-2+deb11u1_arm64.deb
libgstreamer-plugins-bad1.0-0	1.18.4-3+deb11u1	amd64	gst-plugins-bad1.0	1.18.4-3+deb11u1	libgstreamer-plugins-bad1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.18.4-3+deb11u1	7671b78fffed94f22552ff6f1ac633008176066491336a477c08795523696741	7671b78fffed94f22552ff6f1ac633008176066491336a477c08795523696741-libgstreamer-plugins-bad1.0-0_1.18.4-3+deb11u1_arm64.deb
libgstreamer-plugins-base1.0-0	1.18.4-2+deb11u1	amd64	gst-plugins-base1.0	1.18.4-2+deb11u1	libgstreamer-plugins-base1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.18.4-2+deb11u1	49da7b63e233c207398b638a7aee781727b3ca43b09cd4e91d0b8c333e2d58b0	49da7b63e233c207398b638a7aee781727b3ca43b09cd4e91d0b8c333e2d58b0-libgstreamer-plugins-base1.0-0_1.18.4-2+deb11u1_arm64.deb
libgstreamer1.0-0	1.18.4-2.1	amd64	gstreamer1.0	1.18.4-2.1	libgstreamer1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.18.4-2.1	0aee9a595e4fe784a59244dfe10567fd6b12cd94c86657a1dd6d07453154d21f	0aee9a595e4fe784a59244dfe10567fd6b12cd94c86657a1dd6d07453154d21f-libgstreamer1.0-0_1.18.4-2.1_arm64.deb
libgtk-3-0	3.24.24-4+grm3u2	amd64	gtk+3.0	3.24.24-4+grm3u2	libgtk-3-0	arm64	native-arm64	exact-binary-and-source-version	3.24.24-4+grm3u2	6a8bc2c9fac0a88400a3d0e5f23df7300b84f303ad947a80be7c5eb1c5ff8456	6a8bc2c9fac0a88400a3d0e5f23df7300b84f303ad947a80be7c5eb1c5ff8456-libgtk-3-0_3.24.24-4+grm3u2_arm64.deb
libgtk-3-bin	3.24.24-4+grm3u2	amd64	gtk+3.0	3.24.24-4+grm3u2	libgtk-3-bin	arm64	native-arm64	exact-binary-and-source-version	3.24.24-4+grm3u2	42f4721f5b1d4617238aa9c78141dfb11f6e9c1811dac85f9f70ac3a68c36967	42f4721f5b1d4617238aa9c78141dfb11f6e9c1811dac85f9f70ac3a68c36967-libgtk-3-bin_3.24.24-4+grm3u2_arm64.deb
libgtk-3-common	3.24.24-4+grm3u2	all	gtk+3.0	3.24.24-4+grm3u2	libgtk-3-common	all	reuse-all	exact-binary-and-source-version	3.24.24-4+grm3u2	06bbd9f777c94517b0f0cd5fd9b3626cb61eef3073071e9706045867240237cd	06bbd9f777c94517b0f0cd5fd9b3626cb61eef3073071e9706045867240237cd-libgtk-3-common_3.24.24-4+grm3u2_all.deb
libgtk2.0-0	2.24.33-2+grm3u1	amd64	gtk+2.0	2.24.33-2+grm3u1	libgtk2.0-0	arm64	native-arm64	exact-binary-and-source-version	2.24.33-2+grm3u1	21493f151830caddc080cd5ee0a7dd4c7ac5fdbeba81da5d4b12217713cf772d	21493f151830caddc080cd5ee0a7dd4c7ac5fdbeba81da5d4b12217713cf772d-libgtk2.0-0_2.24.33-2+grm3u1_arm64.deb
libgtk2.0-common	2.24.33-2+grm3u1	all	gtk+2.0	2.24.33-2+grm3u1	libgtk2.0-common	all	reuse-all	exact-binary-and-source-version	2.24.33-2+grm3u1	85b8a8e8a456c00dfad0789bd0899bf3d71d5e8729cefc13134b2adfbafb0fe3	85b8a8e8a456c00dfad0789bd0899bf3d71d5e8729cefc13134b2adfbafb0fe3-libgtk2.0-common_2.24.33-2+grm3u1_all.deb
libgtk3-perl	0.038-1	all	libgtk3-perl	0.038-1	libgtk3-perl	all	reuse-all	exact-binary-and-source-version	0.038-1	d57057bfc18d1c506033a1a4e73a5c29098202b187b04dcf9628c8c51689e0b7	d57057bfc18d1c506033a1a4e73a5c29098202b187b04dcf9628c8c51689e0b7-libgtk3-perl_0.038-1_all.deb
libgtkmm-3.0-1v5	3.24.2-2	amd64	gtkmm3.0	3.24.2-2	libgtkmm-3.0-1v5	arm64	native-arm64	exact-binary-and-source-version	3.24.2-2	5757b88221205c788e4c58e5f6bb2a003c7cfcdc1623d47dcfba0979e38bd6f4	5757b88221205c788e4c58e5f6bb2a003c7cfcdc1623d47dcfba0979e38bd6f4-libgtkmm-3.0-1v5_3.24.2-2_arm64.deb
libgtksourceview-4-0	4.8.0-1	amd64	gtksourceview4	4.8.0-1	libgtksourceview-4-0	arm64	native-arm64	exact-binary-and-source-version	4.8.0-1	39865044024f2e2d53db0e942cb4fb6edcfc9fed726013f54944567e35290abb	39865044024f2e2d53db0e942cb4fb6edcfc9fed726013f54944567e35290abb-libgtksourceview-4-0_4.8.0-1_arm64.deb
libgtksourceview-4-common	4.8.0-1	all	gtksourceview4	4.8.0-1	libgtksourceview-4-common	all	reuse-all	exact-binary-and-source-version	4.8.0-1	4b77b0ac9c77d698f3239e2edbd7e619e20e4361c1ab61f1698a81112325af32	4b77b0ac9c77d698f3239e2edbd7e619e20e4361c1ab61f1698a81112325af32-libgtksourceview-4-common_4.8.0-1_all.deb
libgtop-2.0-11	2.40.0-2	amd64	libgtop2	2.40.0-2	libgtop-2.0-11	arm64	native-arm64	exact-binary-and-source-version	2.40.0-2	06e7772fef18f69f8539b87a3c0956c367ff9c29f8b16a816ea7ade65593b571	06e7772fef18f69f8539b87a3c0956c367ff9c29f8b16a816ea7ade65593b571-libgtop-2.0-11_2.40.0-2_arm64.deb
libgtop2-common	2.40.0-2	all	libgtop2	2.40.0-2	libgtop2-common	all	reuse-all	exact-binary-and-source-version	2.40.0-2	7d8c3f3e2bbbfba2f06b7c9107c3ed2b42166a03c9fd6e7235dba116393e21a6	7d8c3f3e2bbbfba2f06b7c9107c3ed2b42166a03c9fd6e7235dba116393e21a6-libgtop2-common_2.40.0-2_all.deb
libgudev-1.0-0	234-1	amd64	libgudev	234-1	libgudev-1.0-0	arm64	native-arm64	exact-binary-and-source-version	234-1	8e0e8990893f9355d7f725e608e948cc9369c850caf163a28f118c0262b63586	8e0e8990893f9355d7f725e608e948cc9369c850caf163a28f118c0262b63586-libgudev-1.0-0_234-1_arm64.deb
libgupnp-1.2-0	1.2.4-1	amd64	gupnp	1.2.4-1	libgupnp-1.2-0	arm64	native-arm64	exact-binary-and-source-version	1.2.4-1	9fc8e77b4c28caf6db825a34fa05c2dd105897e4e7213833896236326b9e64aa	9fc8e77b4c28caf6db825a34fa05c2dd105897e4e7213833896236326b9e64aa-libgupnp-1.2-0_1.2.4-1_arm64.deb
libgupnp-av-1.0-2	0.12.11-2	amd64	gupnp-av	0.12.11-2	libgupnp-av-1.0-2	arm64	native-arm64	exact-binary-and-source-version	0.12.11-2	ced36e9cf2f8825bc64854f3568b7b632eb6f96a5c3e5d1ff7028df6e6c04488	ced36e9cf2f8825bc64854f3568b7b632eb6f96a5c3e5d1ff7028df6e6c04488-libgupnp-av-1.0-2_0.12.11-2_arm64.deb
libgupnp-dlna-2.0-3	0.10.5-4	amd64	gupnp-dlna	0.10.5-4	libgupnp-dlna-2.0-3	arm64	native-arm64	exact-binary-and-source-version	0.10.5-4	31b74a4199cf4589719810259d41b90f3327fea146125afaba3d995ebebe0d29	31b74a4199cf4589719810259d41b90f3327fea146125afaba3d995ebebe0d29-libgupnp-dlna-2.0-3_0.10.5-4_arm64.deb
libgupnp-igd-1.0-4	1.2.0-1	amd64	gupnp-igd	1.2.0-1	libgupnp-igd-1.0-4	arm64	native-arm64	exact-binary-and-source-version	1.2.0-1	6852f375f22f60455552e07577c4bd75c3191f23ca2421b7968ff38671e03ee5	6852f375f22f60455552e07577c4bd75c3191f23ca2421b7968ff38671e03ee5-libgupnp-igd-1.0-4_1.2.0-1_arm64.deb
libgusb2	0.3.5-1	amd64	libgusb	0.3.5-1	libgusb2	arm64	native-arm64	exact-binary-and-source-version	0.3.5-1	d5a747a378def9be7b1e6c8af4bfa31df8d1d8865aa2add65dadfdf3ffddea74	d5a747a378def9be7b1e6c8af4bfa31df8d1d8865aa2add65dadfdf3ffddea74-libgusb2_0.3.5-1_arm64.deb
libgutenprint-common	5.3.3-5	all	gutenprint	5.3.3-5	libgutenprint-common	all	reuse-all	exact-binary-and-source-version	5.3.3-5	b73029f0623be54bbb65d97cb21e0708a0902320ca3c223740b137f1cfb26842	b73029f0623be54bbb65d97cb21e0708a0902320ca3c223740b137f1cfb26842-libgutenprint-common_5.3.3-5_all.deb
libgutenprint9	5.3.3-5	amd64	gutenprint	5.3.3-5	libgutenprint9	arm64	native-arm64	exact-binary-and-source-version	5.3.3-5	4f70cc8a3d316881028007f70ba48d39621f85c2afbd3d77e4cc88164f363a44	4f70cc8a3d316881028007f70ba48d39621f85c2afbd3d77e4cc88164f363a44-libgutenprint9_5.3.3-5_arm64.deb
libgweather-3-16	3.36.1-3	amd64	libgweather	3.36.1-3	libgweather-3-16	arm64	native-arm64	exact-binary-and-source-version	3.36.1-3	6230129578d22d412390f124e23f72f90dade14992b66fe9c44b4496a316a74c	6230129578d22d412390f124e23f72f90dade14992b66fe9c44b4496a316a74c-libgweather-3-16_3.36.1-3_arm64.deb
libgweather-common	3.36.1-3	all	libgweather	3.36.1-3	libgweather-common	all	reuse-all	exact-binary-and-source-version	3.36.1-3	330dede337906f10daf025afe1e7a5d0859046506290d8197bfa4e85a71b27dd	330dede337906f10daf025afe1e7a5d0859046506290d8197bfa4e85a71b27dd-libgweather-common_3.36.1-3_all.deb
libgxps2	0.3.2-1	amd64	libgxps	0.3.2-1	libgxps2	arm64	native-arm64	exact-binary-and-source-version	0.3.2-1	f6db73eccc39f28ccc36bb4d3f9be5c462fa1d3b276d6fbc19c90dd268834f63	f6db73eccc39f28ccc36bb4d3f9be5c462fa1d3b276d6fbc19c90dd268834f63-libgxps2_0.3.2-1_arm64.deb
libhandy-1-0	1.0.3-2	amd64	libhandy-1	1.0.3-2	libhandy-1-0	arm64	native-arm64	exact-binary-and-source-version	1.0.3-2	20627eb3b018a74757a391d1ebc69b19af4b251b413e1ce69ecd0636c6f2ee20	20627eb3b018a74757a391d1ebc69b19af4b251b413e1ce69ecd0636c6f2ee20-libhandy-1-0_1.0.3-2_arm64.deb
libhangul-data	0.1.0+git20191003-2	all	libhangul	0.1.0+git20191003-2	libhangul-data	all	reuse-all	exact-binary-and-source-version	0.1.0+git20191003-2	ec925a884fabe7ea75bee835940e5f138d01be39e6ce814368fd5dda113dea29	ec925a884fabe7ea75bee835940e5f138d01be39e6ce814368fd5dda113dea29-libhangul-data_0.1.0+git20191003-2_all.deb
libhangul1	0.1.0+git20191003-2	amd64	libhangul	0.1.0+git20191003-2	libhangul1	arm64	native-arm64	exact-binary-and-source-version	0.1.0+git20191003-2	bf5e7e39e15e74e412298622a3c2e1588c8358477d89bdccd8277f1c1e499dd6	bf5e7e39e15e74e412298622a3c2e1588c8358477d89bdccd8277f1c1e499dd6-libhangul1_0.1.0+git20191003-2_arm64.deb
libharfbuzz-icu0	2.7.4-1	amd64	harfbuzz	2.7.4-1	libharfbuzz-icu0	arm64	native-arm64	exact-binary-and-source-version	2.7.4-1	73c4295af56916f261aec8a05aefb6ff587e6645afc6073d8250216be6488e2f	73c4295af56916f261aec8a05aefb6ff587e6645afc6073d8250216be6488e2f-libharfbuzz-icu0_2.7.4-1_arm64.deb
libharfbuzz0b	2.7.4-1	amd64	harfbuzz	2.7.4-1	libharfbuzz0b	arm64	native-arm64	exact-binary-and-source-version	2.7.4-1	d9f0345391cc661503d1508ccd318b3db48add354e706cf9d66fa16bf99e2d03	d9f0345391cc661503d1508ccd318b3db48add354e706cf9d66fa16bf99e2d03-libharfbuzz0b_2.7.4-1_arm64.deb
libhogweed6	3.7.3-1	amd64	nettle	3.7.3-1	libhogweed6	arm64	native-arm64	exact-binary-and-source-version	3.7.3-1	3e9eea5e474dd98a7de9e4c1ecfbfd6f6efb1d40bf51d6473de9713cf41d2191	3e9eea5e474dd98a7de9e4c1ecfbfd6f6efb1d40bf51d6473de9713cf41d2191-libhogweed6_3.7.3-1_arm64.deb
libhpmud0	3.21.2+dfsg1-2	amd64	hplip	3.21.2+dfsg1-2	libhpmud0	arm64	native-arm64	exact-binary-and-source-version	3.21.2+dfsg1-2	4cda0190ac42546db9ebabb0cb41016ceb11a97fd378c4850f4fcfd67fafad2d	4cda0190ac42546db9ebabb0cb41016ceb11a97fd378c4850f4fcfd67fafad2d-libhpmud0_3.21.2+dfsg1-2_arm64.deb
libhunspell-1.7-0	1.7.0-3	amd64	hunspell	1.7.0-3	libhunspell-1.7-0	arm64	native-arm64	exact-binary-and-source-version	1.7.0-3	5d9f91f4ecf48a5ad635dfa102c96807ce4b14d50612fba06d89a0dd5beba573	5d9f91f4ecf48a5ad635dfa102c96807ce4b14d50612fba06d89a0dd5beba573-libhunspell-1.7-0_1.7.0-3_arm64.deb
libhx32	3.25-2	amd64	libhx	3.25-2	libhx32	arm64	native-arm64	exact-binary-and-source-version	3.25-2	9ee102a848291b26cba876eb4517d8015718e80d62e95ab1054d4fdf538d038d	9ee102a848291b26cba876eb4517d8015718e80d62e95ab1054d4fdf538d038d-libhx32_3.25-2_arm64.deb
libhyphen0	2.8.8-7	amd64	hyphen	2.8.8-7	libhyphen0	arm64	native-arm64	exact-binary-and-source-version	2.8.8-7	ef0ae355fcc8fb05aa76434c5c485689e5583367a76e701bc8a3dabba22e4150	ef0ae355fcc8fb05aa76434c5c485689e5583367a76e701bc8a3dabba22e4150-libhyphen0_2.8.8-7_arm64.deb
libibus-1.0-5	1.5.23-2	amd64	ibus	1.5.23-2	libibus-1.0-5	arm64	native-arm64	exact-binary-and-source-version	1.5.23-2	83b08c46c9104c99f1a2f0a502e00f4bdb1b9ecb8c82b46416d6499b30537b3e	83b08c46c9104c99f1a2f0a502e00f4bdb1b9ecb8c82b46416d6499b30537b3e-libibus-1.0-5_1.5.23-2_arm64.deb
libical3	3.0.9-2	amd64	libical3	3.0.9-2	libical3	arm64	native-arm64	exact-binary-and-source-version	3.0.9-2	aa73645d6c118be832069308812e18896cb8a599163ba04c6cfa6f87578034fe	aa73645d6c118be832069308812e18896cb8a599163ba04c6cfa6f87578034fe-libical3_3.0.9-2_arm64.deb
libice6	2:1.0.10-1	amd64	libice	2:1.0.10-1	libice6	arm64	native-arm64	exact-binary-and-source-version	2:1.0.10-1	1067dcf02c2fcc4e227a911a4b8916f8295a0ac2bcd20ef3e84e550a97733d60	1067dcf02c2fcc4e227a911a4b8916f8295a0ac2bcd20ef3e84e550a97733d60-libice6_2%3a1.0.10-1_arm64.deb
libicu67	67.1-7	amd64	icu	67.1-7	libicu67	arm64	native-arm64	exact-binary-and-source-version	67.1-7	776303db230b275d8a17dfe8f0012bf61093dfc910f0d51f175be36707686efe	776303db230b275d8a17dfe8f0012bf61093dfc910f0d51f175be36707686efe-libicu67_67.1-7_arm64.deb
libidn11	1.33-3	amd64	libidn	1.33-3	libidn11	arm64	native-arm64	exact-binary-and-source-version	1.33-3	fb5aa56998c74491cdf735eec9ca743960f0585e9ac8b20f73f96c9628c7485d	fb5aa56998c74491cdf735eec9ca743960f0585e9ac8b20f73f96c9628c7485d-libidn11_1.33-3_arm64.deb
libidn2-0	2.3.0-5	amd64	libidn2	2.3.0-5	libidn2-0	arm64	native-arm64	exact-binary-and-source-version	2.3.0-5	0d2e6d39bf65f16861f284be567c1a6c5d4dc6b54dcfdf9dba631546ff4e6796	0d2e6d39bf65f16861f284be567c1a6c5d4dc6b54dcfdf9dba631546ff4e6796-libidn2-0_2.3.0-5_arm64.deb
libiec61883-0	1.2.0-4	amd64	libiec61883	1.2.0-4	libiec61883-0	arm64	native-arm64	exact-binary-and-source-version	1.2.0-4	4a15ee3d12830c7bdaa5c21e522a69dabbaff3fcb4cf18648b71e37ebd0c324d	4a15ee3d12830c7bdaa5c21e522a69dabbaff3fcb4cf18648b71e37ebd0c324d-libiec61883-0_1.2.0-4_arm64.deb
libieee1284-3	0.2.11-14	amd64	libieee1284	0.2.11-14	libieee1284-3	arm64	native-arm64	exact-binary-and-source-version	0.2.11-14	fca5c6cf24fd8877d9af98caa8715d934c949de555ccba29966d71f10faae503	fca5c6cf24fd8877d9af98caa8715d934c949de555ccba29966d71f10faae503-libieee1284-3_0.2.11-14_arm64.deb
libijs-0.35	0.35-15	amd64	ijs	0.35-15	libijs-0.35	arm64	native-arm64	exact-binary-and-source-version	0.35-15	32b9653c4833af417fd8501e6f133a5784a73ae2010b2de9cf87276670317817	32b9653c4833af417fd8501e6f133a5784a73ae2010b2de9cf87276670317817-libijs-0.35_0.35-15_arm64.deb
libilmbase25	2.5.4-1	amd64	ilmbase	2.5.4-1	libilmbase25	arm64	native-arm64	exact-binary-and-source-version	2.5.4-1	9d09d54ad2ceb8148fd1be0fe2e065a7c35ffecb48b329592271aaf860f620e9	9d09d54ad2ceb8148fd1be0fe2e065a7c35ffecb48b329592271aaf860f620e9-libilmbase25_2.5.4-1_arm64.deb
libimagequant0	2.12.2-1.1	amd64	libimagequant	2.12.2-1.1	libimagequant0	arm64	native-arm64	exact-binary-and-source-version	2.12.2-1.1	2cb79760112b5a139832ee929b28e1f47937b635abcb760a4bf4abd4bc32a387	2cb79760112b5a139832ee929b28e1f47937b635abcb760a4bf4abd4bc32a387-libimagequant0_2.12.2-1.1_arm64.deb
libimobiledevice6	1.3.0-6	amd64	libimobiledevice	1.3.0-6	libimobiledevice6	arm64	native-arm64	exact-binary-and-source-version	1.3.0-6	6fa776ead086ccd42e90bef6e0861714bf8d15e9ab9e8d41634a6f707a76b45b	6fa776ead086ccd42e90bef6e0861714bf8d15e9ab9e8d41634a6f707a76b45b-libimobiledevice6_1.3.0-6_arm64.deb
