path	classification	unsigned_equal	runtime_equal	executable_equal	writable_equal	symbol_equal	text_equal	different_runtime_sections
kernel/drivers/net/can/usb/esd_usb2.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/can/usb/gs_usb.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/can/usb/kvaser_usb/kvaser_usb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/can/usb/mcba_usb.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/can/usb/peak_usb/peak_usb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/can/usb/ucan.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/can/usb/usb_8dev.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/can/vcan.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/can/vxcan.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/dummy.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/eql.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/3com/3c574_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/3com/3c589_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/3com/3c59x.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/3com/typhoon.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/8390/8390.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/8390/axnet_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.rodata.str1.1,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/8390/ne2k-pci.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/8390/pcnet_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/adaptec/starfire.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/agere/et131x.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/alteon/acenic.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/amazon/ena/ena.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/amd/amd8111e.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/amd/nmclan_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/amd/pcnet32.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/amd/xgbe/amd-xgbe.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__mcount_loc,__versions
kernel/drivers/net/ethernet/aquantia/atlantic/atlantic.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/atheros/alx/alx.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/atheros/atl1c/atl1c.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/atheros/atl1e/atl1e.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/atheros/atlx/atl1.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/atheros/atlx/atl2.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/broadcom/b44.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/broadcom/bnx2.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/broadcom/bnx2x/bnx2x.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/broadcom/bnxt/bnxt_en.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/broadcom/cnic.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/broadcom/tg3.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/brocade/bna/bna.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,__jump_table,__versions
kernel/drivers/net/ethernet/cavium/common/cavium_ptp.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/cavium/liquidio/liquidio.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/cavium/liquidio/liquidio_vf.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/chelsio/cxgb/cxgb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/chelsio/cxgb3/cxgb3.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/chelsio/cxgb4/cxgb4.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/chelsio/cxgb4vf/cxgb4vf.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,__jump_table,__versions
kernel/drivers/net/ethernet/chelsio/libcxgb/libcxgb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/cisco/enic/enic.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/dec/tulip/de2104x.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,__dyndbg,__jump_table,__versions
