source	source_version	role	status	binary_architectures	repository_full_name	ref_kind	ref_name	commit_sha	tree_sha	match_scope
gooroom-update	1.3.3+grm3u1	reuse-all	resolved	all	gooroom/gooroom-update	branch	master	77c1b2c089474694cc43890a2909474195e60307	d78f4852a478795b802230c43c06a93e8c2fe0f4	ref-tip
gooroom-yelp-adjustments	0.3.10+han3u1	reuse-all	resolved	all	hancomgooroom/gooroom-yelp-adjustments	branch-history	hancom-4.0	a6c805e5ce0fc1e9c6a91737b6c5621e0ee8e34e	70555ad741c77011ff01c74b002adad64a097933	pickaxe-depth-300
gooroomsystem	1.1.3+grm3u1	reuse-all	resolved	all	gooroom/gooroomsystem	branch	master	4ffafbff7cfd57191b24a9621acfd36ef97b4aa5	c5d4e1311b16547ff077c8adc86c34549cdf0110	ref-tip
gtk+2.0	2.24.33-2+grm3u1	rebuild-arm64	resolved	all,amd64	gooroom/gtk2	branch	master	dd67a4d4c36d6b0a178663d0fe192cadf836877d	8020c98e6206a576e3a6049962be7ad10b5b8333	ref-tip
gtk+3.0	3.24.24-4+grm3u2	rebuild-arm64	resolved	all,amd64	gooroom/gtk3	branch	gooroom-3.0	b566a9d629f2f6ce1b2bf415c102a15a1d2d2495	e6d2a53b942106b26c58d54a8a52edfde7dea3ae	ref-tip
hancom-gooroom-themepack	0.3.3+han3u1	reuse-all	resolved	all	hancomgooroom/hancom-gooroom-themepack	branch-history	hancom-4.0	b6c43160b8cc70feb3326b79a8d47baaab3578a3	da35fa4c0b8d42064a00d889fbd49c7c9f7d9b3b	pickaxe-depth-300
hancom-toolkit	0.3.3+han3u1	rebuild-arm64	resolved	amd64	hancomgooroom/hancom-toolkit	branch-history	hancom-4.0	57d9ca6f5a066dc801149c78edb5175c27a05ecc	cb1f9edd051b6521442a15ebadc95e4b82718f05	pickaxe-depth-300
hancom-viewer-installer	0.2.2+han3u1	rebuild-arm64	resolved	amd64	hancom-io/hancom-viewer-installer	branch	hancom-3.0	883c293b0a23e7bd47e54ef0a5edf3d26b7906b9	b394ff18973f4c0ce3d594845e0f6be3360ac250	ref-tip
hancomgrm-adjustments-utils	0.3.3+han3u1	rebuild-arm64	resolved	amd64	hancomgooroom/hancomgrm-adjustments-utils	branch-history	hancom-4.0	2f8d22c40c79922bdb444fe787bd05f7d55f10e6	c9bf9631d38a6c95af97f80affbd71fe534a94c6	pickaxe-depth-300
libnma	1.8.30-1+grm3u2	rebuild-arm64	resolved	all,amd64	gooroom/libnma	branch	gooroom-3.0	7ea056fd93525e344559ebc2e38b90ce5937ecc8	2ada6a3ee3ba66b0768ef666baba32e4998a6eff	ref-tip
lightdm	1.26.0-7+grm3u1	rebuild-arm64	resolved	amd64	gooroom/lightdm	branch	master	8ba0d53aeb414b53dad67f2accbbfe2c2d10eb8d	61e0b98fd3b25dcc755d23be0643a6cf86e35416	ref-tip
linux	5.10.179-1+grm3u1	rebuild-arm64	unresolved-version	amd64						
linux-signed-amd64	5.10.179+1+grm3u1	arch-replace	arch-replace	amd64						
live-config	11.0.3+grm3u1	reuse-all	resolved	all	gooroom/live-config	branch	master	7542b09395dc84e6a5f12c28ebe621f37b3df85b	00cfca2dedf4b6f7808dcc5bc63725c91c4a9938	ref-tip
live-installer	2023.06.30+han3u1	reuse-all	unresolved-version	all						
metacity	1:3.38.0-2+grm3u1	rebuild-arm64	resolved	all,amd64	gooroom/metacity	tag	gooroom/1%3.38.0-2+grm3u1	a16c481927cd6694eb2ec2afaedf07a9ee411b5c	7c52cb654d792f4f32fe450c9206b4bd1b5acbc8	ref-tip
mousetweaks	3.32.0-3+grm3u1	rebuild-arm64	resolved	amd64	gooroom/mousetweaks	branch	master	06ed39e08e6e2427a515bdab114d02a35fc010f8	3ef99087b50a0e5f759bcb7ce3df144680bc60fa	ref-tip
nautilus	3.38.2-1+deb11u1+grm3u8	rebuild-arm64	resolved	all,amd64	gooroom/nautilus	tag	gooroom/3.38.2-1+deb11u1+grm3u8	8d7900ad94c2dbfe167e0dd9a00ee37f203f0511	d3b2a8e8599902b40da81867f85c2ac81fe4d984	ref-tip
network-manager	1.30.0-2+grm3u3	rebuild-arm64	resolved	amd64	gooroom/network-manager	branch	gooroom-3.0	712e0531988c471901936d0c8c415a1a8cec96fe	fafc1de993a88e4bc27f53912199b8b65acb86b9	ref-tip
network-manager-applet	1.20.0-3+grm3u4	rebuild-arm64	resolved	amd64	gooroom/network-manager-applet	branch-history	gooroom-3.0	fb22dadeb9eeb78b4d256a2a78d619aa5687cbea	5b8aeb62c1e855d611025b10e4fd7e0eb351c9ad	pickaxe-depth-300
nimf	2023.06.30+grm3u1	rebuild-arm64	resolved	amd64	gooroom/nimf	branch	gooroom-3.0	583ad8b183db06a84c6b85a80fe132583566909d	a2e3017b4c00e92a1cab8fe803e2e88f07d5d74d	ref-tip
p7zip	16.02+dfsg-8+grm3u1	rebuild-arm64	resolved	amd64	gooroom/p7zip	branch	master	950abb3e7274d493c8035a23ec2bb0adcde9cb55	e392d61e4303302107f9468a06ef0bcb49fe4f33	ref-tip
pam-gooroom	0.4.3+grm3u1	rebuild-arm64	resolved	amd64	gooroom/libpam-gooroom-authenticator	branch	gooroom-3.0	5e99b9ca991380109060624176da2ec7958cf77d	a88f82cfd34681e64217bd973eae44f80e5d120d	ref-tip
policykit-1	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	resolved	amd64	gooroom/policykit-1	branch	gooroom-3.0	9839dc8b6ac0d8b61538b9769c2c659be823b94d	6ea64810601958f880c397c5a647643cfd28a745	ref-tip
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	rebuild-arm64	unresolved-repository	amd64						
synaptic	0.90.2+grm3u3	rebuild-arm64	resolved	amd64	gooroom/synaptic	branch	gooroom-3.0	0aadbfb8a87e3be73dc0b20c1edb74774c46e9a8	569d9d83a12748ff484c34432a0562c6951b39ae	ref-tip
system-config-printer	1.5.14-1+grm3u1	reuse-all	resolved	all	gooroom/system-config-printer	branch	master	451f170fa30eed547da91b8716cfac0b0998ba83	46ec00e143769ca20b0d6fc52859824285122883	ref-tip
yelp	3.38.3-1+han3u3	rebuild-arm64	resolved	amd64	hancom-io/yelp	branch	hancom-3.0	73af67d27815adcd09e4c319f692754a4b008a85	404913af82e2c63363d1a864b5226812fd1c77b6	ref-tip
