source	source_version	role	status	repository	directory	dsc_name	dsc_sha256	url
nautilus	3.38.2-1+deb11u1+grm3u8	rebuild-arm64	missing-exact-signed-dsc			nautilus_3.38.2-1+deb11u1+grm3u8.dsc		
network-manager	1.30.0-2+grm3u3	rebuild-arm64	missing-exact-signed-dsc			network-manager_1.30.0-2+grm3u3.dsc		
network-manager-applet	1.20.0-3+grm3u4	rebuild-arm64	missing-exact-signed-dsc			network-manager-applet_1.20.0-3+grm3u4.dsc		
nimf	2023.06.30+grm3u1	rebuild-arm64	missing-exact-signed-dsc			nimf_2023.06.30+grm3u1.dsc		
p7zip	16.02+dfsg-8+grm3u1	rebuild-arm64	missing-exact-signed-dsc			p7zip_16.02+dfsg-8+grm3u1.dsc		
pam-gooroom	0.4.3+grm3u1	rebuild-arm64	missing-exact-signed-dsc			pam-gooroom_0.4.3+grm3u1.dsc		
policykit-1	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	missing-exact-signed-dsc			policykit-1_0.105-31+nDeb11u1+grm3u1.dsc		
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	rebuild-arm64	missing-exact-signed-dsc			qtbase-opensource-src_5.15.2+dfsg-9+grm3u1.dsc		
synaptic	0.90.2+grm3u3	rebuild-arm64	missing-exact-signed-dsc			synaptic_0.90.2+grm3u3.dsc		
system-config-printer	1.5.14-1+grm3u1	reuse-all	missing-exact-signed-dsc			system-config-printer_1.5.14-1+grm3u1.dsc		
yelp	3.38.3-1+han3u3	rebuild-arm64	missing-exact-signed-dsc			yelp_3.38.3-1+han3u3.dsc		
