package	version	architecture	source	source_version	multi_arch	essential	priority	section	custom_candidate
dpkg	1.20.12+grm3u1	amd64	dpkg	1.20.12+grm3u1	foreign	yes	required	admin	True
e2fsprogs	1.46.2-2	amd64	e2fsprogs	1.46.2-2	foreign	no	required	admin	False
ecryptfs-utils	111-5	amd64	ecryptfs-utils	111-5		no	optional	misc	False
eject	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	foreign	no	optional	utils	False
emacsen-common	3.0.4	all	emacsen-common	3.0.4		no	optional	editors	False
eog	3.38.2-1+grm3u4	amd64	eog	3.38.2-1+grm3u4		no	optional	gnome	True
evolution-data-server-common	3.38.3-1+deb11u2	all	evolution-data-server	3.38.3-1+deb11u2	foreign	no	optional	gnome	False
exfat-fuse	1.3.0-2	amd64	fuse-exfat	1.3.0-2		no	optional	otherosfs	False
exfat-utils	1.3.0-2	amd64	exfat-utils	1.3.0-2		no	optional	otherosfs	False
faba-icon-theme	4.3-1	all	faba-icon-theme	4.3-1		no	optional	misc	False
faenza-icon-theme	1.3.1-1.1	all	faenza-icon-theme	1.3.1-1.1		no	optional	gnome	False
fdisk	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	foreign	no	important	utils	False
file	1:5.39-3	amd64	file	1:5.39-3	foreign	no	standard	utils	False
file-roller	3.38.1-1+grm3u3	amd64	file-roller	3.38.1-1+grm3u3		no	optional	gnome	True
findutils	4.8.0-1	amd64	findutils	4.8.0-1	foreign	yes	required	utils	False
firmware-amd-graphics	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-atheros	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-bnx2	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-bnx2x	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-brcm80211	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-cavium	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-intel-sound	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-intelwimax	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-ipw2x00	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-ivtv	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-iwlwifi	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-libertas	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-linux	20210315-3	all	firmware-nonfree	20210315-3		no	optional	non-free/metapackages	False
firmware-linux-free	20200122-1	all	firmware-free	20200122-1	foreign	no	optional	kernel	False
firmware-linux-nonfree	20210315-3	all	firmware-nonfree	20210315-3		no	optional	non-free/metapackages	False
firmware-misc-nonfree	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-myricom	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-netronome	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-netxen	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-qcom-media	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/oldlibs	False
firmware-qcom-soc	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-qlogic	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-realtek	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-samsung	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-siano	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-sof-signed	1.7-1	all	firmware-sof	1.7-1		no	optional	non-free/kernel	False
firmware-ti-connectivity	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
flat-remix-gtk-theme	0.3.0+grm3u1	all	flat-remix-gtk-theme	0.3.0+grm3u1		no	optional	x11	True
flatpak	1.10.8-0+deb11u1	amd64	flatpak	1.10.8-0+deb11u1		no	optional	admin	False
fontconfig	2.13.1-4.2	amd64	fontconfig	2.13.1-4.2	foreign	no	optional	fonts	False
fontconfig-config	2.13.1-4.2	all	fontconfig	2.13.1-4.2	foreign	no	optional	fonts	False
fonts-dejavu-core	2.37-2	all	fonts-dejavu	2.37-2	foreign	no	optional	fonts	False
fonts-nanum	20200506-1	all	fonts-nanum	20200506-1	foreign	no	optional	fonts	False
fonts-nanum-extra	20200506-1	all	fonts-nanum	20200506-1	foreign	no	optional	fonts	False
fonts-naver-d2coding	1.3.2-2	all	fonts-naver-d2coding	1.3.2-2	foreign	no	optional	fonts	False
fonts-noto-cjk	1:20201206-cjk+repack1-1	all	fonts-noto-cjk	1:20201206-cjk+repack1-1	foreign	no	optional	fonts	False
fonts-quicksand	0.2016-2.1	all	fonts-quicksand	0.2016-2.1	foreign	no	optional	fonts	False
fonts-urw-base35	20200910-1	all	fonts-urw-base35	20200910-1	foreign	no	optional	fonts	False
foomatic-db-compressed-ppds	20200820-1	all	foomatic-db	20200820-1	foreign	no	optional	text	False
fsarchiver	0.8.6-1	amd64	fsarchiver	0.8.6-1		no	optional	admin	False
fuse	2.9.9-5	amd64	fuse	2.9.9-5		no	optional	utils	False
gcc-10-base	10.2.1-6	amd64	gcc-10	10.2.1-6	same	no	required	libs	False
gcc-9-base	9.3.0-22	amd64	gcc-9	9.3.0-22	same	no	required	libs	False
gconf-service	3.2.6-7	amd64	gconf	3.2.6-7	foreign	no	optional	libs	False
gconf2	3.2.6-7	amd64	gconf	3.2.6-7	foreign	no	optional	libs	False
gconf2-common	3.2.6-7	all	gconf	3.2.6-7	foreign	no	optional	libs	False
gcr	3.38.1-2	amd64	gcr	3.38.1-2		no	optional	gnome	False
gdebi	0.9.5.7+nmu5-1+grm3u2	all	gdebi	0.9.5.7+nmu5-1+grm3u2		no	optional	admin	True
gdebi-core	0.9.5.7+nmu5-1+grm3u2	all	gdebi	0.9.5.7+nmu5-1+grm3u2		no	optional	admin	True
gdisk	1.0.6-1.1	amd64	gdisk	1.0.6-1.1		no	optional	admin	False
gedit	3.38.1-1+grm3u3	amd64	gedit	3.38.1-1+grm3u3		no	optional	gnome	True
gedit-common	3.38.1-1+grm3u3	all	gedit	3.38.1-1+grm3u3		no	optional	gnome	True
gettext-base	0.21-4	amd64	gettext	0.21-4	foreign	no	standard	utils	False
ghostscript	9.53.3~dfsg-7+deb11u5	amd64	ghostscript	9.53.3~dfsg-7+deb11u5	foreign	no	optional	text	False
gir1.2-atk-1.0	2.36.0-2	amd64	atk1.0	2.36.0-2	same	no	optional	introspection	False
gir1.2-freedesktop	1.66.1-1+b1	amd64	gobject-introspection	1.66.1-1	same	no	optional	introspection	False
gir1.2-gdkpixbuf-2.0	2.42.2+dfsg-1+deb11u1	amd64	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	same	no	optional	introspection	False
gir1.2-gladeui-2.0	3.38.2-2	amd64	glade	3.38.2-2	same	no	optional	introspection	False
gir1.2-glib-2.0	1.66.1-1+b1	amd64	gobject-introspection	1.66.1-1	same	no	optional	introspection	False
gir1.2-gtk-3.0	3.24.24-4+grm3u2	amd64	gtk+3.0	3.24.24-4+grm3u2	same	no	optional	introspection	True
