source	source_version	binary_packages	custom_candidate
gdk-pixbuf-xlib	2.40.2-2	libgdk-pixbuf-xlib-2.0-0,libgdk-pixbuf2.0-0	False
gdm3	3.38.2.1-1	libgdm1	False
gedit	3.38.1-1+grm3u3	gedit,gedit-common	False
geoclue-2.0	2.5.7-3	libgeoclue-2-0	False
geocode-glib	3.26.2-2	libgeocode-glib0	False
gettext	0.21-4	gettext-base	False
gexiv2	0.12.1-1	libgexiv2-2	False
ghostscript	9.53.3~dfsg-7+deb11u5	ghostscript,libgs9,libgs9-common	False
giflib	5.1.9-2	libgif7	False
gjs	1.66.2-1	libgjs0g	False
glade	3.38.2-2	gir1.2-gladeui-2.0,libgladeui-2-13,libgladeui-common	False
glib-networking	2.66.0-2	glib-networking,glib-networking-common,glib-networking-services	False
glib2.0	2.66.8-1	libglib2.0-0,libglib2.0-bin,libglib2.0-data	False
glibc	2.31-13+deb11u6	libc-bin,libc-l10n,libc6,locales	False
glibmm2.4	2.64.2-2	libglibmm-2.4-1v5	False
glx-alternatives	1.2.1~deb11u1	glx-alternative-mesa,glx-alternative-nvidia,glx-diversions,update-glx	False
gmp	2:6.2.1+dfsg-1+deb11u1	libgmp10	False
gnome-autoar	0.2.4-3	libgnome-autoar-0-0	False
gnome-bluetooth	3.34.3-2+grm3u1	gnome-bluetooth,libgnome-bluetooth13	False
gnome-calculator	3.38.2-1	gnome-calculator	False
gnome-control-center	1:3.38.4-1+grm3u9	gnome-control-center,gnome-control-center-data	False
gnome-desktop3	3.38.5-3	gnome-desktop3-data,libgnome-desktop-3-19	False
gnome-flashback	3.38.0-2+grm3u2+han3u4	gnome-flashback,gnome-flashback-common,gnome-session-flashback	False
gnome-hwp-support	0.1.6-2	gnome-hwp-support	False
gnome-icon-theme	3.12.0-3	gnome-icon-theme	False
gnome-keyring	3.36.0-1	gnome-keyring,libpam-gnome-keyring	False
gnome-menus	3.36.0-1	gnome-menus,libgnome-menu-3-0	False
gnome-online-accounts	3.38.0-3	libgoa-1.0-0b,libgoa-1.0-common	False
gnome-panel	3.38.0-1+grm3u1	gnome-panel,gnome-panel-data,libgnome-panel0	False
gnome-screenshot	3.38.0-1+grm3u2	gnome-screenshot	False
gnome-session	3.38.0-4	gnome-session-bin,gnome-session-common	False
gnome-settings-daemon	3.38.2-1+grm3u1	gnome-settings-daemon,gnome-settings-daemon-common	False
gnome-terminal	3.38.3-1	gnome-terminal,gnome-terminal-data	False
gnome-themes-extra	3.28-1	gnome-themes-extra,gnome-themes-extra-data	False
gnupg2	2.2.27-2+deb11u2	dirmngr,gnupg,gnupg-l10n,gnupg-utils,gpg,gpg-agent,gpg-wks-client,gpg-wks-server,gpgconf,gpgsm,gpgv	False
gnutls28	3.7.1-5+deb11u3	libgnutls30	False
gobject-introspection	1.66.1-1	gir1.2-freedesktop,gir1.2-glib-2.0,libgirepository-1.0-1	False
gooroom-agent-service	0.4.8+grm3u1	gooroom-agent-service	True
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	gooroom-applauncher-applet	True
gooroom-archive-keyring	20201012+grm3u1	gooroom-archive-keyring	True
gooroom-artwork-common	1.3.3+grm3u1	gooroom-artwork-common	True
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	gooroom-artwork-gnome-flashback	True
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	gooroom-bootsplash-theme	True
gooroom-browser	3.5.0-1+grm3u3	gooroom-browser,gooroom-browser-l10n	True
gooroom-client-server-register	1.1.1+han3u1	gooroom-client-server-register	True
gooroom-dockbarx	1.3.0+grm3u3	gooroom-dockbarx,gooroom-dockbarx-common,gooroom-dockbarx-dockx	True
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	gooroom-dockbarx-applet	True
gooroom-greeter	0.3.1+grm3u1+han3u2	gooroom-greeter	True
gooroom-guide	0.5.3+grm3u1+han3u1	gooroom-guide	True
gooroom-icon-themes	1.3.6+grm3u1+han3u2	gooroom-icon-themes	True
gooroom-indicator-applet	0.3.0+grm3u1	gooroom-indicator-applet	True
gooroom-info	3.3.0+grm3u1	gooroom-info	True
gooroom-integration-applet	0.3.1+grm3u1+han3u3	gooroom-integration-applet	True
gooroom-libsecurity-extensions	0.1.7+grm3u1	gooroom-libsecurity-extensions	True
gooroom-logout	0.3.0+grm3u1	gooroom-logout	True
gooroom-notice-applet	0.3.4+grm3u1	gooroom-notice-applet	True
gooroom-notifyd	0.5.0+grm3u1	gooroom-notifyd	True
gooroom-resource-access-control	1.4.9+grm3u1	grac-device-daemon,grac-editor	True
gooroom-security-status-tools	0.3.9+grm3u1	gooroom-security-status-tools	True
gooroom-security-utils	0.3.7+grm3u1	gooroom-security-utils	True
gooroom-session-manager	0.3.9+grm3u1+han3u2	gooroom-session-manager	True
gooroom-showdesktop-applet	0.2.0+grm3u1	gooroom-showdesktop-applet	True
gooroom-software	3.30.6+5+grm3u6	gooroom-software,gooroom-software-common,gooroom-software-plugin-flatpak	True
gooroom-translations	20230728+han3u1	gooroom-translations	True
gooroom-update	1.3.3+grm3u1	gooroom-update	True
gooroom-yelp-adjustments	0.3.10+han3u1	gooroom-yelp-adjustments	True
gooroomsystem	1.1.3+grm3u1	gooroomsystem	True
gpart	1:0.3-8	gpart	False
gparted	1.2.0-1	gparted,gparted-common	False
gpgme1.0	1.14.0-1	libgpgme11	False
gpm	1.20.7-8	libgpm2	False
graphite2	1.3.14-1	libgraphite2-3	False
grep	3.6-1+deb11u1	grep	False
groff	1.22.4-6	groff-base	False
grub2	2.06-3~deb11u5	grub-common,grub-pc,grub-pc-bin,grub2-common	False
gsettings-desktop-schemas	3.38.0-2	gsettings-desktop-schemas	False
gsound	1.0.2-5	libgsound0	False
gspell	1.8.4-1	libgspell-1-2,libgspell-1-common	False
gssdp	1.2.3-2	libgssdp-1.2-0	False
gst-libav1.0	1.18.4-3	gstreamer1.0-libav	False
gst-plugins-bad1.0	1.18.4-3+deb11u1	gstreamer1.0-plugins-bad,libgstreamer-plugins-bad1.0-0	False
gst-plugins-base1.0	1.18.4-2+deb11u1	gstreamer1.0-plugins-base,gstreamer1.0-x,libgstreamer-gl1.0-0,libgstreamer-plugins-base1.0-0	False
gst-plugins-good1.0	1.18.4-2+deb11u2	gstreamer1.0-plugins-good,gstreamer1.0-pulseaudio	False
gst-plugins-ugly1.0	1.18.4-2	gstreamer1.0-plugins-ugly	False
gstreamer-editing-services1.0	1.18.4-2	libges-1.0-0	False
gstreamer1.0	1.18.4-2.1	libgstreamer1.0-0	False
