source	source_version	role	source_status	build_status	repository_full_name	commit_sha	tree_sha	amd64_binary_packages	reused_all_packages	build_evidence
gooroom-security-status-tools	0.3.9+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-security-status-tools	e0617321d1d0ee9db078c44b5da8265b511cc77c	083237804297c06e1f7dcec02436c226ca75f1ec	gooroom-security-status-tools		arm64/locks/rebuild-results/gooroom-security-status-tools/0.3.9+grm3u1/result.json
gooroom-security-utils	0.3.7+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-security-utils	bf71213bb3a61fccb7b736151c8814b9975894d6	c91c872121b780ced52a7df3f4ddf9fda73eff39		gooroom-security-utils	
gooroom-session-manager	0.3.9+grm3u1+han3u2	rebuild-arm64	unresolved	source-blocked				gooroom-session-manager		
gooroom-showdesktop-applet	0.2.0+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-showdesktop-applet	7a296d9d0b9c35c01014f08495cc6da347f07ca0	d139bced2ae046922d3c0e35dc8357551245b6a3	gooroom-showdesktop-applet		arm64/locks/rebuild-results/gooroom-showdesktop-applet/0.2.0+grm3u1/result.json
gooroom-software	3.30.6+5+grm3u6	rebuild-arm64	exact-locked	failed	gooroom/gooroom-software	2aedea76a1c77853d80ec2d05cbfcbec48879eaf	5181988d917696bc0159edae219f1dcb5dd5fe09	gooroom-software,gooroom-software-plugin-flatpak	gooroom-software-common	arm64/locks/rebuild-results/gooroom-software/3.30.6+5+grm3u6/result.json
gooroom-translations	20230728+han3u1	reuse-all	unresolved	not-required					gooroom-translations	
gooroom-update	1.3.3+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-update	77c1b2c089474694cc43890a2909474195e60307	d78f4852a478795b802230c43c06a93e8c2fe0f4		gooroom-update	
gooroom-yelp-adjustments	0.3.10+han3u1	reuse-all	exact-locked	not-required	hancomgooroom/gooroom-yelp-adjustments	a6c805e5ce0fc1e9c6a91737b6c5621e0ee8e34e	70555ad741c77011ff01c74b002adad64a097933		gooroom-yelp-adjustments	
gooroomsystem	1.1.3+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroomsystem	4ffafbff7cfd57191b24a9621acfd36ef97b4aa5	c5d4e1311b16547ff077c8adc86c34549cdf0110		gooroomsystem	
gtk+2.0	2.24.33-2+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gtk2	dd67a4d4c36d6b0a178663d0fe192cadf836877d	8020c98e6206a576e3a6049962be7ad10b5b8333	gtk2-engines-pixbuf,libgtk2.0-0	libgtk2.0-common	arm64/locks/rebuild-results/gtk+2.0/2.24.33-2+grm3u1/result.json
gtk+3.0	3.24.24-4+grm3u2	rebuild-arm64	exact-locked	failed	gooroom/gtk3	b566a9d629f2f6ce1b2bf415c102a15a1d2d2495	e6d2a53b942106b26c58d54a8a52edfde7dea3ae	gir1.2-gtk-3.0,gtk-update-icon-cache,libgtk-3-0,libgtk-3-bin	libgtk-3-common	arm64/locks/rebuild-results/gtk+3.0/3.24.24-4+grm3u2/result.json
hancom-gooroom-themepack	0.3.3+han3u1	reuse-all	exact-locked	not-required	hancomgooroom/hancom-gooroom-themepack	b6c43160b8cc70feb3326b79a8d47baaab3578a3	da35fa4c0b8d42064a00d889fbd49c7c9f7d9b3b		hancom-gooroom-themepack	
hancom-toolkit	0.3.3+han3u1	rebuild-arm64	exact-locked	failed	hancomgooroom/hancom-toolkit	57d9ca6f5a066dc801149c78edb5175c27a05ecc	cb1f9edd051b6521442a15ebadc95e4b82718f05	hancom-toolkit		arm64/locks/rebuild-results/hancom-toolkit/0.3.3+han3u1/result.json
hancom-viewer-installer	0.2.2+han3u1	rebuild-arm64	exact-locked	failed	hancom-io/hancom-viewer-installer	883c293b0a23e7bd47e54ef0a5edf3d26b7906b9	b394ff18973f4c0ce3d594845e0f6be3360ac250	hancom-viewer-installer		arm64/locks/rebuild-results/hancom-viewer-installer/0.2.2+han3u1/result.json
hancomgrm-adjustments-utils	0.3.3+han3u1	rebuild-arm64	exact-locked	failed	hancomgooroom/hancomgrm-adjustments-utils	2f8d22c40c79922bdb444fe787bd05f7d55f10e6	c9bf9631d38a6c95af97f80affbd71fe534a94c6	hancomgrm-adjustments-utils		arm64/locks/rebuild-results/hancomgrm-adjustments-utils/0.3.3+han3u1/result.json
libnma	1.8.30-1+grm3u2	rebuild-arm64	exact-locked	failed	gooroom/libnma	7ea056fd93525e344559ebc2e38b90ce5937ecc8	2ada6a3ee3ba66b0768ef666baba32e4998a6eff	libnma0	libnma-common	arm64/locks/rebuild-results/libnma/1.8.30-1+grm3u2/result.json
lightdm	1.26.0-7+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/lightdm	6824813cf5d82b8c5cc47009e2e7be45717af6f8	aef7445a73e7240dc68bf83edf506ad5f1bd0ce3	liblightdm-gobject-1-0,lightdm		arm64/locks/rebuild-results/lightdm/1.26.0-7+grm3u1/result.json
linux	5.10.179-1+grm3u1	rebuild-arm64	unresolved	source-blocked				linux-image-5.10.0-23-amd64		
linux-signed-amd64	5.10.179+1+grm3u1	rebuild-arm64	arch-replace	pending				linux-image-amd64		
live-config	11.0.3+grm3u1	reuse-all	exact-locked	not-required	gooroom/live-config	7542b09395dc84e6a5f12c28ebe621f37b3df85b	00cfca2dedf4b6f7808dcc5bc63725c91c4a9938		live-config,live-config-systemd	
live-installer	2023.06.30+han3u1	reuse-all	unresolved	not-required					live-installer	
metacity	1:3.38.0-2+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/metacity	a16c481927cd6694eb2ec2afaedf07a9ee411b5c	7c52cb654d792f4f32fe450c9206b4bd1b5acbc8	libmetacity3,metacity	metacity-common	arm64/locks/rebuild-results/metacity/1_3.38.0-2+grm3u1/result.json
mousetweaks	3.32.0-3+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/mousetweaks	06ed39e08e6e2427a515bdab114d02a35fc010f8	3ef99087b50a0e5f759bcb7ce3df144680bc60fa	mousetweaks		arm64/locks/rebuild-results/mousetweaks/3.32.0-3+grm3u1/result.json
nautilus	3.38.2-1+deb11u1+grm3u8	rebuild-arm64	exact-locked	pending	gooroom/nautilus	8d7900ad94c2dbfe167e0dd9a00ee37f203f0511	d3b2a8e8599902b40da81867f85c2ac81fe4d984	libnautilus-extension1a,nautilus	nautilus-data	
network-manager	1.30.0-2+grm3u3	rebuild-arm64	exact-locked	failed	gooroom/network-manager	712e0531988c471901936d0c8c415a1a8cec96fe	fafc1de993a88e4bc27f53912199b8b65acb86b9	libnm0,network-manager		arm64/locks/rebuild-results/network-manager/1.30.0-2+grm3u3/result.json
network-manager-applet	1.20.0-3+grm3u4	rebuild-arm64	exact-locked	failed	gooroom/network-manager-applet	fb22dadeb9eeb78b4d256a2a78d619aa5687cbea	5b8aeb62c1e855d611025b10e4fd7e0eb351c9ad	network-manager-gnome		arm64/locks/rebuild-results/network-manager-applet/1.20.0-3+grm3u4/result.json
nimf	2023.06.30+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/nimf	583ad8b183db06a84c6b85a80fe132583566909d	a2e3017b4c00e92a1cab8fe803e2e88f07d5d74d	libnimf1,nimf,nimf-libhangul		arm64/locks/rebuild-results/nimf/2023.06.30+grm3u1/result.json
p7zip	16.02+dfsg-8+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/p7zip	950abb3e7274d493c8035a23ec2bb0adcde9cb55	e392d61e4303302107f9468a06ef0bcb49fe4f33	p7zip,p7zip-full		arm64/locks/rebuild-results/p7zip/16.02+dfsg-8+grm3u1/result.json
pam-gooroom	0.4.3+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/libpam-gooroom-authenticator	8307ea469ed55c2c05ea8936c967a6e584cd57c7	a88f82cfd34681e64217bd973eae44f80e5d120d	pam-gooroom		arm64/locks/rebuild-results/pam-gooroom/0.4.3+grm3u1/result.json
policykit-1	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	exact-locked	pending	gooroom/policykit-1	0563a8a6e1276df34e70c52029b0d8e3a2314520	c636768dd74927fb948b0c4527966a110de5516b	gir1.2-polkit-1.0,libpolkit-agent-1-0,libpolkit-gobject-1-0,policykit-1		
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	rebuild-arm64	unresolved	source-blocked				libqt5core5a,libqt5dbus5,libqt5gui5,libqt5network5,libqt5printsupport5,libqt5sql5,libqt5test5,libqt5widgets5,libqt5xml5		
synaptic	0.90.2+grm3u3	rebuild-arm64	exact-locked	failed	gooroom/synaptic	0aadbfb8a87e3be73dc0b20c1edb74774c46e9a8	569d9d83a12748ff484c34432a0562c6951b39ae	synaptic		arm64/locks/rebuild-results/synaptic/0.90.2+grm3u3/result.json
system-config-printer	1.5.14-1+grm3u1	reuse-all	exact-locked	not-required	gooroom/system-config-printer	451f170fa30eed547da91b8716cfac0b0998ba83	46ec00e143769ca20b0d6fc52859824285122883		python3-cupshelpers,system-config-printer,system-config-printer-common	
yelp	3.38.3-1+han3u3	rebuild-arm64	exact-locked	pending	hancom-io/yelp	73af67d27815adcd09e4c319f692754a4b008a85	404913af82e2c63363d1a864b5226812fd1c77b6	libyelp0,yelp		
