package	amd64_version	amd64_architecture	source	source_version	arm64_package	arm64_version	status	reason	selected
libjson-glib-1.0-0	1.6.2-1	amd64	json-glib	1.6.2-1	libjson-glib-1.0-0	1.6.2-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:a2167dd43e00154f2418f19e819cd90db1559f78cd8d783cfac1063bba7509e8"", ""architecture"": ""arm64"", ""download_filename"": ""libjson-glib-1.0-0_1.6.2-1_arm64.deb"", ""filename"": ""pool/main/j/json-glib/libjson-glib-1.0-0_1.6.2-1_arm64.deb"", ""package"": ""libjson-glib-1.0-0"", ""sha256"": ""a2167dd43e00154f2418f19e819cd90db1559f78cd8d783cfac1063bba7509e8"", ""size"": 59780, ""source"": ""json-glib"", ""source_version"": ""1.6.2-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/j/json-glib/libjson-glib-1.0-0_1.6.2-1_arm64.deb"", ""version"": ""1.6.2-1""}"
libjson-glib-1.0-common	1.6.2-1	all	json-glib	1.6.2-1	libjson-glib-1.0-common	1.6.2-1	reuse-exact-all	exact Architecture: all binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:a938ec35a20dca2e5878a8750fb44683b67a5f7c2d23d383963803a9fcfac1a3"", ""architecture"": ""all"", ""download_filename"": ""libjson-glib-1.0-common_1.6.2-1_all.deb"", ""filename"": ""pool/main/j/json-glib/libjson-glib-1.0-common_1.6.2-1_all.deb"", ""package"": ""libjson-glib-1.0-common"", ""sha256"": ""a938ec35a20dca2e5878a8750fb44683b67a5f7c2d23d383963803a9fcfac1a3"", ""size"": 56856, ""source"": ""json-glib"", ""source_version"": ""1.6.2-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/j/json-glib/libjson-glib-1.0-common_1.6.2-1_all.deb"", ""version"": ""1.6.2-1""}"
libjsoncpp24	1.9.4-4	amd64	libjsoncpp	1.9.4-4	libjsoncpp24	1.9.4-4	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:b8e04a858f2059d4e9d66b79f359995e38ff8c9509175647d6f98ba1f8b29b2a"", ""architecture"": ""arm64"", ""download_filename"": ""libjsoncpp24_1.9.4-4_arm64.deb"", ""filename"": ""pool/main/libj/libjsoncpp/libjsoncpp24_1.9.4-4_arm64.deb"", ""package"": ""libjsoncpp24"", ""sha256"": ""b8e04a858f2059d4e9d66b79f359995e38ff8c9509175647d6f98ba1f8b29b2a"", ""size"": 72492, ""source"": ""libjsoncpp"", ""source_version"": ""1.9.4-4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libj/libjsoncpp/libjsoncpp24_1.9.4-4_arm64.deb"", ""version"": ""1.9.4-4""}"
libk5crypto3	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libk5crypto3	1.18.3-6+deb11u3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:6193fca1f4dbcc366cff4767194f9bcc278467c9dcd786c90a2933846312db39"", ""architecture"": ""arm64"", ""download_filename"": ""libk5crypto3_1.18.3-6+deb11u3_arm64.deb"", ""filename"": ""pool/main/k/krb5/libk5crypto3_1.18.3-6+deb11u3_arm64.deb"", ""package"": ""libk5crypto3"", ""sha256"": ""6193fca1f4dbcc366cff4767194f9bcc278467c9dcd786c90a2933846312db39"", ""size"": 114368, ""source"": ""krb5"", ""source_version"": ""1.18.3-6+deb11u3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/krb5/libk5crypto3_1.18.3-6%2bdeb11u3_arm64.deb"", ""version"": ""1.18.3-6+deb11u3""}"
libkate1	0.4.1-11	amd64	libkate	0.4.1-11	libkate1	0.4.1-11	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:97890e66ff7ac0dbc99ab927ffe441feb9c51922cf6aeefd86c504e4ef9613dc"", ""architecture"": ""arm64"", ""download_filename"": ""libkate1_0.4.1-11_arm64.deb"", ""filename"": ""pool/main/libk/libkate/libkate1_0.4.1-11_arm64.deb"", ""package"": ""libkate1"", ""sha256"": ""97890e66ff7ac0dbc99ab927ffe441feb9c51922cf6aeefd86c504e4ef9613dc"", ""size"": 41440, ""source"": ""libkate"", ""source_version"": ""0.4.1-11"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libk/libkate/libkate1_0.4.1-11_arm64.deb"", ""version"": ""0.4.1-11""}"
libkeybinder-3.0-0	0.3.2-1.1	amd64	keybinder-3.0	0.3.2-1.1	libkeybinder-3.0-0	0.3.2-1.1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:3b393e448bef34dc6e06dcbed7e699ffdc2ce00cf156d114ebf2e11ad167fed4"", ""architecture"": ""arm64"", ""download_filename"": ""libkeybinder-3.0-0_0.3.2-1.1_arm64.deb"", ""filename"": ""pool/main/k/keybinder-3.0/libkeybinder-3.0-0_0.3.2-1.1_arm64.deb"", ""package"": ""libkeybinder-3.0-0"", ""sha256"": ""3b393e448bef34dc6e06dcbed7e699ffdc2ce00cf156d114ebf2e11ad167fed4"", ""size"": 8700, ""source"": ""keybinder-3.0"", ""source_version"": ""0.3.2-1.1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/keybinder-3.0/libkeybinder-3.0-0_0.3.2-1.1_arm64.deb"", ""version"": ""0.3.2-1.1""}"
libkeyutils1	1.6.1-2	amd64	keyutils	1.6.1-2	libkeyutils1	1.6.1-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:7101c2380ab47a3627a6fa076a149ab71078263064f936fccbd43efbaed4a2da"", ""architecture"": ""arm64"", ""download_filename"": ""libkeyutils1_1.6.1-2_arm64.deb"", ""filename"": ""pool/main/k/keyutils/libkeyutils1_1.6.1-2_arm64.deb"", ""package"": ""libkeyutils1"", ""sha256"": ""7101c2380ab47a3627a6fa076a149ab71078263064f936fccbd43efbaed4a2da"", ""size"": 15364, ""source"": ""keyutils"", ""source_version"": ""1.6.1-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/keyutils/libkeyutils1_1.6.1-2_arm64.deb"", ""version"": ""1.6.1-2""}"
libklibc	2.0.8-6.1	amd64	klibc	2.0.8-6.1	libklibc	2.0.8-6.1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5eeaaf0bc236090878fa6a5d0f2bea127c67dd0f1144573c43d90b2a35abd3ee"", ""architecture"": ""arm64"", ""download_filename"": ""libklibc_2.0.8-6.1_arm64.deb"", ""filename"": ""pool/main/k/klibc/libklibc_2.0.8-6.1_arm64.deb"", ""package"": ""libklibc"", ""sha256"": ""5eeaaf0bc236090878fa6a5d0f2bea127c67dd0f1144573c43d90b2a35abd3ee"", ""size"": 58924, ""source"": ""klibc"", ""source_version"": ""2.0.8-6.1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/klibc/libklibc_2.0.8-6.1_arm64.deb"", ""version"": ""2.0.8-6.1""}"
libkmod2	28-1	amd64	kmod	28-1	libkmod2	28-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:b23875b1dd2ffaae6a5f4e45d22a7a4f0fa5827903e049d64efed91dda27194d"", ""architecture"": ""arm64"", ""download_filename"": ""libkmod2_28-1_arm64.deb"", ""filename"": ""pool/main/k/kmod/libkmod2_28-1_arm64.deb"", ""package"": ""libkmod2"", ""sha256"": ""b23875b1dd2ffaae6a5f4e45d22a7a4f0fa5827903e049d64efed91dda27194d"", ""size"": 52528, ""source"": ""kmod"", ""source_version"": ""28-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/kmod/libkmod2_28-1_arm64.deb"", ""version"": ""28-1""}"
libkrb5-3	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libkrb5-3	1.18.3-6+deb11u3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:130a57d59a0b76711d1d42b54491017d84052c8bad05971fc8d13b2c5cb07a5f"", ""architecture"": ""arm64"", ""download_filename"": ""libkrb5-3_1.18.3-6+deb11u3_arm64.deb"", ""filename"": ""pool/main/k/krb5/libkrb5-3_1.18.3-6+deb11u3_arm64.deb"", ""package"": ""libkrb5-3"", ""sha256"": ""130a57d59a0b76711d1d42b54491017d84052c8bad05971fc8d13b2c5cb07a5f"", ""size"": 346420, ""source"": ""krb5"", ""source_version"": ""1.18.3-6+deb11u3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/krb5/libkrb5-3_1.18.3-6%2bdeb11u3_arm64.deb"", ""version"": ""1.18.3-6+deb11u3""}"
libkrb5support0	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libkrb5support0	1.18.3-6+deb11u3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:7e42d93c73eff4d34e981aeabb48f6a7da2123a145fe13c08b0f853a947d76bf"", ""architecture"": ""arm64"", ""download_filename"": ""libkrb5support0_1.18.3-6+deb11u3_arm64.deb"", ""filename"": ""pool/main/k/krb5/libkrb5support0_1.18.3-6+deb11u3_arm64.deb"", ""package"": ""libkrb5support0"", ""sha256"": ""7e42d93c73eff4d34e981aeabb48f6a7da2123a145fe13c08b0f853a947d76bf"", ""size"": 64960, ""source"": ""krb5"", ""source_version"": ""1.18.3-6+deb11u3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/k/krb5/libkrb5support0_1.18.3-6%2bdeb11u3_arm64.deb"", ""version"": ""1.18.3-6+deb11u3""}"
libksba8	1.5.0-3+deb11u2	amd64	libksba	1.5.0-3+deb11u2	libksba8	1.5.0-3+deb11u2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:8602e8e8e0be88e5ffd5e911dacdfd08e2b0f2dab753da96e6fe6ae0e09cfe33"", ""architecture"": ""arm64"", ""download_filename"": ""libksba8_1.5.0-3+deb11u2_arm64.deb"", ""filename"": ""pool/main/libk/libksba/libksba8_1.5.0-3+deb11u2_arm64.deb"", ""package"": ""libksba8"", ""sha256"": ""8602e8e8e0be88e5ffd5e911dacdfd08e2b0f2dab753da96e6fe6ae0e09cfe33"", ""size"": 114800, ""source"": ""libksba"", ""source_version"": ""1.5.0-3+deb11u2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libk/libksba/libksba8_1.5.0-3%2bdeb11u2_arm64.deb"", ""version"": ""1.5.0-3+deb11u2""}"
liblapack3	3.9.0-3	amd64	lapack	3.9.0-3	liblapack3	3.9.0-3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:30858f2b44bd6e24100bf119ab7e4da0e9db9df1ade3957e65952d95d4c308e6"", ""architecture"": ""arm64"", ""download_filename"": ""liblapack3_3.9.0-3_arm64.deb"", ""filename"": ""pool/main/l/lapack/liblapack3_3.9.0-3_arm64.deb"", ""package"": ""liblapack3"", ""sha256"": ""30858f2b44bd6e24100bf119ab7e4da0e9db9df1ade3957e65952d95d4c308e6"", ""size"": 1541304, ""source"": ""lapack"", ""source_version"": ""3.9.0-3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lapack/liblapack3_3.9.0-3_arm64.deb"", ""version"": ""3.9.0-3""}"
liblcms2-2	2.12~rc1-2	amd64	lcms2	2.12~rc1-2	liblcms2-2	2.12~rc1-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:6d92ee1f0d427b88ab9bff32c769b61e2597c8fb289589ca0731a7e77d490d6e"", ""architecture"": ""arm64"", ""download_filename"": ""liblcms2-2_2.12~rc1-2_arm64.deb"", ""filename"": ""pool/main/l/lcms2/liblcms2-2_2.12~rc1-2_arm64.deb"", ""package"": ""liblcms2-2"", ""sha256"": ""6d92ee1f0d427b88ab9bff32c769b61e2597c8fb289589ca0731a7e77d490d6e"", ""size"": 140276, ""source"": ""lcms2"", ""source_version"": ""2.12~rc1-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lcms2/liblcms2-2_2.12%7erc1-2_arm64.deb"", ""version"": ""2.12~rc1-2""}"
liblcms2-utils	2.12~rc1-2	amd64	lcms2	2.12~rc1-2	liblcms2-utils	2.12~rc1-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5297d7e8d410531d75a7a2596070c45c33b6a48fd9be9502f9461499a0294aaf"", ""architecture"": ""arm64"", ""download_filename"": ""liblcms2-utils_2.12~rc1-2_arm64.deb"", ""filename"": ""pool/main/l/lcms2/liblcms2-utils_2.12~rc1-2_arm64.deb"", ""package"": ""liblcms2-utils"", ""sha256"": ""5297d7e8d410531d75a7a2596070c45c33b6a48fd9be9502f9461499a0294aaf"", ""size"": 45724, ""source"": ""lcms2"", ""source_version"": ""2.12~rc1-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lcms2/liblcms2-utils_2.12%7erc1-2_arm64.deb"", ""version"": ""2.12~rc1-2""}"
libldap-2.4-2	2.4.57+dfsg-3+deb11u1	amd64	openldap	2.4.57+dfsg-3+deb11u1	libldap-2.4-2	2.4.57+dfsg-3+deb11u1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:4803bddc9ff915cd91d0cc4ec22c6ab5e07b213e6a44118025fdab8bfa6d20ba"", ""architecture"": ""arm64"", ""download_filename"": ""libldap-2.4-2_2.4.57+dfsg-3+deb11u1_arm64.deb"", ""filename"": ""pool/main/o/openldap/libldap-2.4-2_2.4.57+dfsg-3+deb11u1_arm64.deb"", ""package"": ""libldap-2.4-2"", ""sha256"": ""4803bddc9ff915cd91d0cc4ec22c6ab5e07b213e6a44118025fdab8bfa6d20ba"", ""size"": 221596, ""source"": ""openldap"", ""source_version"": ""2.4.57+dfsg-3+deb11u1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/o/openldap/libldap-2.4-2_2.4.57%2bdfsg-3%2bdeb11u1_arm64.deb"", ""version"": ""2.4.57+dfsg-3+deb11u1""}"
libldb2	2:2.2.3-2~deb11u2	amd64	ldb	2:2.2.3-2~deb11u2	libldb2	2:2.2.3-2~deb11u2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5321ffe28accdf6b343fd2ff47d68f6d26734f47829ab7894d50e58b9afe21e8"", ""architecture"": ""arm64"", ""download_filename"": ""libldb2_2%3a2.2.3-2~deb11u2_arm64.deb"", ""filename"": ""pool/main/l/ldb/libldb2_2.2.3-2~deb11u2_arm64.deb"", ""package"": ""libldb2"", ""sha256"": ""5321ffe28accdf6b343fd2ff47d68f6d26734f47829ab7894d50e58b9afe21e8"", ""size"": 138716, ""source"": ""ldb"", ""source_version"": ""2:2.2.3-2~deb11u2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/ldb/libldb2_2.2.3-2%7edeb11u2_arm64.deb"", ""version"": ""2:2.2.3-2~deb11u2""}"
liblightdm-gobject-1-0	1.26.0-7+grm3u1	amd64	lightdm	1.26.0-7+grm3u1	liblightdm-gobject-1-0	1.26.0-7+grm3u1	custom-rebuild	exact +grm/+han source authority must produce ARM64 binaries	
liblilv-0-0	0.24.12-2	amd64	lilv	0.24.12-2	liblilv-0-0	0.24.12-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:b36dc0c3b8ba453025b4839c852065abb95c823c4c03376e9ac4db76c56d5e8b"", ""architecture"": ""arm64"", ""download_filename"": ""liblilv-0-0_0.24.12-2_arm64.deb"", ""filename"": ""pool/main/l/lilv/liblilv-0-0_0.24.12-2_arm64.deb"", ""package"": ""liblilv-0-0"", ""sha256"": ""b36dc0c3b8ba453025b4839c852065abb95c823c4c03376e9ac4db76c56d5e8b"", ""size"": 46852, ""source"": ""lilv"", ""source_version"": ""0.24.12-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lilv/liblilv-0-0_0.24.12-2_arm64.deb"", ""version"": ""0.24.12-2""}"
libllvm11	1:11.0.1-2	amd64	llvm-toolchain-11	1:11.0.1-2	libllvm11	1:11.0.1-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:0f4d1c3e259e203cc25ca5e07a4f88a018a775bdbf4376f33b06c8ffb7bb688b"", ""architecture"": ""arm64"", ""download_filename"": ""libllvm11_1%3a11.0.1-2_arm64.deb"", ""filename"": ""pool/main/l/llvm-toolchain-11/libllvm11_11.0.1-2_arm64.deb"", ""package"": ""libllvm11"", ""sha256"": ""0f4d1c3e259e203cc25ca5e07a4f88a018a775bdbf4376f33b06c8ffb7bb688b"", ""size"": 14711520, ""source"": ""llvm-toolchain-11"", ""source_version"": ""1:11.0.1-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/llvm-toolchain-11/libllvm11_11.0.1-2_arm64.deb"", ""version"": ""1:11.0.1-2""}"
liblmdb0	0.9.24-1	amd64	lmdb	0.9.24-1	liblmdb0	0.9.24-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:c76f9f67a0e0b2fc0010a1d4ff980e0ec5bb224f14fb6df63fdff74d5811226d"", ""architecture"": ""arm64"", ""download_filename"": ""liblmdb0_0.9.24-1_arm64.deb"", ""filename"": ""pool/main/l/lmdb/liblmdb0_0.9.24-1_arm64.deb"", ""package"": ""liblmdb0"", ""sha256"": ""c76f9f67a0e0b2fc0010a1d4ff980e0ec5bb224f14fb6df63fdff74d5811226d"", ""size"": 43720, ""source"": ""lmdb"", ""source_version"": ""0.9.24-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lmdb/liblmdb0_0.9.24-1_arm64.deb"", ""version"": ""0.9.24-1""}"
liblocale-gettext-perl	1.07-4+b1	amd64	liblocale-gettext-perl	1.07-4	liblocale-gettext-perl	1.07-4+b1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:435a5b66fda1c04aa633947848c9bff9616f5c4b8c80b10ebd783be53b8a780b"", ""architecture"": ""arm64"", ""download_filename"": ""liblocale-gettext-perl_1.07-4+b1_arm64.deb"", ""filename"": ""pool/main/libl/liblocale-gettext-perl/liblocale-gettext-perl_1.07-4+b1_arm64.deb"", ""package"": ""liblocale-gettext-perl"", ""sha256"": ""435a5b66fda1c04aa633947848c9bff9616f5c4b8c80b10ebd783be53b8a780b"", ""size"": 18908, ""source"": ""liblocale-gettext-perl"", ""source_version"": ""1.07-4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libl/liblocale-gettext-perl/liblocale-gettext-perl_1.07-4%2bb1_arm64.deb"", ""version"": ""1.07-4+b1""}"
liblognorm5	2.0.5-1.1	amd64	liblognorm	2.0.5-1.1	liblognorm5	2.0.5-1.1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:0b6e7593a264b4928dcb6da64dab3ca41acfef1ca899fbb8a7491f43ae549fc1"", ""architecture"": ""arm64"", ""download_filename"": ""liblognorm5_2.0.5-1.1_arm64.deb"", ""filename"": ""pool/main/libl/liblognorm/liblognorm5_2.0.5-1.1_arm64.deb"", ""package"": ""liblognorm5"", ""sha256"": ""0b6e7593a264b4928dcb6da64dab3ca41acfef1ca899fbb8a7491f43ae549fc1"", ""size"": 62052, ""source"": ""liblognorm"", ""source_version"": ""2.0.5-1.1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libl/liblognorm/liblognorm5_2.0.5-1.1_arm64.deb"", ""version"": ""2.0.5-1.1""}"
libltc11	1.3.1-1	amd64	libltc	1.3.1-1	libltc11	1.3.1-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:1ff780bc54ed29fd5b638fc4b1cd948c2a34524298fd32175e3abf17a6e8f81f"", ""architecture"": ""arm64"", ""download_filename"": ""libltc11_1.3.1-1_arm64.deb"", ""filename"": ""pool/main/libl/libltc/libltc11_1.3.1-1_arm64.deb"", ""package"": ""libltc11"", ""sha256"": ""1ff780bc54ed29fd5b638fc4b1cd948c2a34524298fd32175e3abf17a6e8f81f"", ""size"": 13484, ""source"": ""libltc"", ""source_version"": ""1.3.1-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libl/libltc/libltc11_1.3.1-1_arm64.deb"", ""version"": ""1.3.1-1""}"
libltdl7	2.4.6-15	amd64	libtool	2.4.6-15	libltdl7	2.4.6-15	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:e13bc091b1493c3bbb0e6554e73bd4d913358fdcd267152d1dcb32a5a3b94e27"", ""architecture"": ""arm64"", ""download_filename"": ""libltdl7_2.4.6-15_arm64.deb"", ""filename"": ""pool/main/libt/libtool/libltdl7_2.4.6-15_arm64.deb"", ""package"": ""libltdl7"", ""sha256"": ""e13bc091b1493c3bbb0e6554e73bd4d913358fdcd267152d1dcb32a5a3b94e27"", ""size"": 389772, ""source"": ""libtool"", ""source_version"": ""2.4.6-15"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libt/libtool/libltdl7_2.4.6-15_arm64.deb"", ""version"": ""2.4.6-15""}"
liblua5.2-0	5.2.4-1.1+b3	amd64	lua5.2	5.2.4-1.1	liblua5.2-0	5.2.4-1.1+b3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:420bb05527f514a6d51ecc1fbd38001f044f44640af16ac68d146306c74e63e4"", ""architecture"": ""arm64"", ""download_filename"": ""liblua5.2-0_5.2.4-1.1+b3_arm64.deb"", ""filename"": ""pool/main/l/lua5.2/liblua5.2-0_5.2.4-1.1+b3_arm64.deb"", ""package"": ""liblua5.2-0"", ""sha256"": ""420bb05527f514a6d51ecc1fbd38001f044f44640af16ac68d146306c74e63e4"", ""size"": 99812, ""source"": ""lua5.2"", ""source_version"": ""5.2.4-1.1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lua5.2/liblua5.2-0_5.2.4-1.1%2bb3_arm64.deb"", ""version"": ""5.2.4-1.1+b3""}"
liblz4-1	1.9.3-2	amd64	lz4	1.9.3-2	liblz4-1	1.9.3-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:83f0ee547cd42854e1b2a2e4c1a5705e28259ee5fa6560119f918f961a5dada2"", ""architecture"": ""arm64"", ""download_filename"": ""liblz4-1_1.9.3-2_arm64.deb"", ""filename"": ""pool/main/l/lz4/liblz4-1_1.9.3-2_arm64.deb"", ""package"": ""liblz4-1"", ""sha256"": ""83f0ee547cd42854e1b2a2e4c1a5705e28259ee5fa6560119f918f961a5dada2"", ""size"": 52660, ""source"": ""lz4"", ""source_version"": ""1.9.3-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lz4/liblz4-1_1.9.3-2_arm64.deb"", ""version"": ""1.9.3-2""}"
liblzma5	5.2.5-2.1~deb11u1	amd64	xz-utils	5.2.5-2.1~deb11u1	liblzma5	5.2.5-2.1~deb11u1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:d865bba41952c707b3fa3ae8cab4d4bd337ee92991d2aead66c925bf7cc48846"", ""architecture"": ""arm64"", ""download_filename"": ""liblzma5_5.2.5-2.1~deb11u1_arm64.deb"", ""filename"": ""pool/main/x/xz-utils/liblzma5_5.2.5-2.1~deb11u1_arm64.deb"", ""package"": ""liblzma5"", ""sha256"": ""d865bba41952c707b3fa3ae8cab4d4bd337ee92991d2aead66c925bf7cc48846"", ""size"": 164644, ""source"": ""xz-utils"", ""source_version"": ""5.2.5-2.1~deb11u1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/x/xz-utils/liblzma5_5.2.5-2.1%7edeb11u1_arm64.deb"", ""version"": ""5.2.5-2.1~deb11u1""}"
liblzo2-2	2.10-2	amd64	lzo2	2.10-2	liblzo2-2	2.10-2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:7b83b0c8f67bb09da8d3bb7b2ff38843bfdc8f7b627194048c18d679e1ee2a5b"", ""architecture"": ""arm64"", ""download_filename"": ""liblzo2-2_2.10-2_arm64.deb"", ""filename"": ""pool/main/l/lzo2/liblzo2-2_2.10-2_arm64.deb"", ""package"": ""liblzo2-2"", ""sha256"": ""7b83b0c8f67bb09da8d3bb7b2ff38843bfdc8f7b627194048c18d679e1ee2a5b"", ""size"": 51756, ""source"": ""lzo2"", ""source_version"": ""2.10-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/l/lzo2/liblzo2-2_2.10-2_arm64.deb"", ""version"": ""2.10-2""}"
libmagic-mgc	1:5.39-3	amd64	file	1:5.39-3	libmagic-mgc	1:5.39-3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:ee52c1a5eaca56fe0cf38e9c5367d21ab3ee6360541c97e11c23374643f83d1c"", ""architecture"": ""arm64"", ""download_filename"": ""libmagic-mgc_1%3a5.39-3_arm64.deb"", ""filename"": ""pool/main/f/file/libmagic-mgc_5.39-3_arm64.deb"", ""package"": ""libmagic-mgc"", ""sha256"": ""ee52c1a5eaca56fe0cf38e9c5367d21ab3ee6360541c97e11c23374643f83d1c"", ""size"": 272932, ""source"": ""file"", ""source_version"": ""1:5.39-3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/f/file/libmagic-mgc_5.39-3_arm64.deb"", ""version"": ""1:5.39-3""}"
libmagic1	1:5.39-3	amd64	file	1:5.39-3	libmagic1	1:5.39-3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:de8c9b08bc82d289a8a5c17e8bc5e3bb6e8629dc5c201f6f67f6b57cab0d01cd"", ""architecture"": ""arm64"", ""download_filename"": ""libmagic1_1%3a5.39-3_arm64.deb"", ""filename"": ""pool/main/f/file/libmagic1_5.39-3_arm64.deb"", ""package"": ""libmagic1"", ""sha256"": ""de8c9b08bc82d289a8a5c17e8bc5e3bb6e8629dc5c201f6f67f6b57cab0d01cd"", ""size"": 121012, ""source"": ""file"", ""source_version"": ""1:5.39-3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/f/file/libmagic1_5.39-3_arm64.deb"", ""version"": ""1:5.39-3""}"
