package	amd64_version	amd64_architecture	source	source_version	arm64_package	arm64_version	status	reason	selected
libcairo2	1.16.0-5	amd64	cairo	1.16.0-5	libcairo2	1.16.0-5	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5b18336974b045dda5fbd64799f06247f6b216ee54f3391adc90f0bf81596de5"", ""architecture"": ""arm64"", ""download_filename"": ""libcairo2_1.16.0-5_arm64.deb"", ""filename"": ""pool/main/c/cairo/libcairo2_1.16.0-5_arm64.deb"", ""package"": ""libcairo2"", ""sha256"": ""5b18336974b045dda5fbd64799f06247f6b216ee54f3391adc90f0bf81596de5"", ""size"": 647736, ""source"": ""cairo"", ""source_version"": ""1.16.0-5"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/cairo/libcairo2_1.16.0-5_arm64.deb"", ""version"": ""1.16.0-5""}"
libcairomm-1.0-1v5	1.12.2-4	amd64	cairomm	1.12.2-4	libcairomm-1.0-1v5	1.12.2-4	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:09678589f76597ce68e08cf1b3f6b4fc3fd4ade1a48aad9077760db08b32df9c"", ""architecture"": ""arm64"", ""download_filename"": ""libcairomm-1.0-1v5_1.12.2-4_arm64.deb"", ""filename"": ""pool/main/c/cairomm/libcairomm-1.0-1v5_1.12.2-4_arm64.deb"", ""package"": ""libcairomm-1.0-1v5"", ""sha256"": ""09678589f76597ce68e08cf1b3f6b4fc3fd4ade1a48aad9077760db08b32df9c"", ""size"": 62116, ""source"": ""cairomm"", ""source_version"": ""1.12.2-4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/cairomm/libcairomm-1.0-1v5_1.12.2-4_arm64.deb"", ""version"": ""1.12.2-4""}"
libcamel-1.2-62	3.38.3-1+deb11u2	amd64	evolution-data-server	3.38.3-1+deb11u2	libcamel-1.2-62	3.38.3-1+deb11u2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:f23fa31fc0b7c5840a7e2baa1f069ca47dcaf5da32336ea4092cb3fbc51c9dbb"", ""architecture"": ""arm64"", ""download_filename"": ""libcamel-1.2-62_3.38.3-1+deb11u2_arm64.deb"", ""filename"": ""pool/main/e/evolution-data-server/libcamel-1.2-62_3.38.3-1+deb11u2_arm64.deb"", ""package"": ""libcamel-1.2-62"", ""sha256"": ""f23fa31fc0b7c5840a7e2baa1f069ca47dcaf5da32336ea4092cb3fbc51c9dbb"", ""size"": 416824, ""source"": ""evolution-data-server"", ""source_version"": ""3.38.3-1+deb11u2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/e/evolution-data-server/libcamel-1.2-62_3.38.3-1%2bdeb11u2_arm64.deb"", ""version"": ""3.38.3-1+deb11u2""}"
libcanberra-gtk-module	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk-module	0.30-7	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5eaa417ff58aeb266e297cfc41ca0f7b019f2e03eac670a84d95723ba78aeff6"", ""architecture"": ""arm64"", ""download_filename"": ""libcanberra-gtk-module_0.30-7_arm64.deb"", ""filename"": ""pool/main/libc/libcanberra/libcanberra-gtk-module_0.30-7_arm64.deb"", ""package"": ""libcanberra-gtk-module"", ""sha256"": ""5eaa417ff58aeb266e297cfc41ca0f7b019f2e03eac670a84d95723ba78aeff6"", ""size"": 13668, ""source"": ""libcanberra"", ""source_version"": ""0.30-7"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcanberra/libcanberra-gtk-module_0.30-7_arm64.deb"", ""version"": ""0.30-7""}"
libcanberra-gtk0	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk0	0.30-7	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:0ade1d114f0afb354830a96761bddf4f0af0280290892f68c66731d39c79c258"", ""architecture"": ""arm64"", ""download_filename"": ""libcanberra-gtk0_0.30-7_arm64.deb"", ""filename"": ""pool/main/libc/libcanberra/libcanberra-gtk0_0.30-7_arm64.deb"", ""package"": ""libcanberra-gtk0"", ""sha256"": ""0ade1d114f0afb354830a96761bddf4f0af0280290892f68c66731d39c79c258"", ""size"": 12116, ""source"": ""libcanberra"", ""source_version"": ""0.30-7"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcanberra/libcanberra-gtk0_0.30-7_arm64.deb"", ""version"": ""0.30-7""}"
libcanberra-gtk3-0	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk3-0	0.30-7	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:2dcc3870ce307a5aaf08426d40ba2150785a3bb8687fec0850df57bb77eb2371"", ""architecture"": ""arm64"", ""download_filename"": ""libcanberra-gtk3-0_0.30-7_arm64.deb"", ""filename"": ""pool/main/libc/libcanberra/libcanberra-gtk3-0_0.30-7_arm64.deb"", ""package"": ""libcanberra-gtk3-0"", ""sha256"": ""2dcc3870ce307a5aaf08426d40ba2150785a3bb8687fec0850df57bb77eb2371"", ""size"": 12072, ""source"": ""libcanberra"", ""source_version"": ""0.30-7"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcanberra/libcanberra-gtk3-0_0.30-7_arm64.deb"", ""version"": ""0.30-7""}"
libcanberra-gtk3-module	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk3-module	0.30-7	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:d6b6b8bc932e43eeab5dac40fd2adce9490e6c255a780a31d870be8d6ad705d5"", ""architecture"": ""arm64"", ""download_filename"": ""libcanberra-gtk3-module_0.30-7_arm64.deb"", ""filename"": ""pool/main/libc/libcanberra/libcanberra-gtk3-module_0.30-7_arm64.deb"", ""package"": ""libcanberra-gtk3-module"", ""sha256"": ""d6b6b8bc932e43eeab5dac40fd2adce9490e6c255a780a31d870be8d6ad705d5"", ""size"": 13536, ""source"": ""libcanberra"", ""source_version"": ""0.30-7"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcanberra/libcanberra-gtk3-module_0.30-7_arm64.deb"", ""version"": ""0.30-7""}"
libcanberra-pulse	0.30-7	amd64	libcanberra	0.30-7	libcanberra-pulse	0.30-7	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:da592d9d8ae54cbce6095c7f6c43223f8b9e2faf6e29d7ce68a943e9fb240411"", ""architecture"": ""arm64"", ""download_filename"": ""libcanberra-pulse_0.30-7_arm64.deb"", ""filename"": ""pool/main/libc/libcanberra/libcanberra-pulse_0.30-7_arm64.deb"", ""package"": ""libcanberra-pulse"", ""sha256"": ""da592d9d8ae54cbce6095c7f6c43223f8b9e2faf6e29d7ce68a943e9fb240411"", ""size"": 15144, ""source"": ""libcanberra"", ""source_version"": ""0.30-7"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcanberra/libcanberra-pulse_0.30-7_arm64.deb"", ""version"": ""0.30-7""}"
libcanberra0	0.30-7	amd64	libcanberra	0.30-7	libcanberra0	0.30-7	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:ca2cb45891290826394d007496fd7b5aee1d21d75e563fa56ae5c3b8340175b5"", ""architecture"": ""arm64"", ""download_filename"": ""libcanberra0_0.30-7_arm64.deb"", ""filename"": ""pool/main/libc/libcanberra/libcanberra0_0.30-7_arm64.deb"", ""package"": ""libcanberra0"", ""sha256"": ""ca2cb45891290826394d007496fd7b5aee1d21d75e563fa56ae5c3b8340175b5"", ""size"": 37260, ""source"": ""libcanberra"", ""source_version"": ""0.30-7"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcanberra/libcanberra0_0.30-7_arm64.deb"", ""version"": ""0.30-7""}"
libcap-ng0	0.7.9-2.2+b1	amd64	libcap-ng	0.7.9-2.2	libcap-ng0	0.7.9-2.2+b1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:b7b14e0b7747872f04691efe6c126de5ed0bf1dc200f51b93039cc2f4a65a96a"", ""architecture"": ""arm64"", ""download_filename"": ""libcap-ng0_0.7.9-2.2+b1_arm64.deb"", ""filename"": ""pool/main/libc/libcap-ng/libcap-ng0_0.7.9-2.2+b1_arm64.deb"", ""package"": ""libcap-ng0"", ""sha256"": ""b7b14e0b7747872f04691efe6c126de5ed0bf1dc200f51b93039cc2f4a65a96a"", ""size"": 14296, ""source"": ""libcap-ng"", ""source_version"": ""0.7.9-2.2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcap-ng/libcap-ng0_0.7.9-2.2%2bb1_arm64.deb"", ""version"": ""0.7.9-2.2+b1""}"
