reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	all	True
gooroom-browser	3.5.0-1+grm3u3	rebuild-arm64	gooroom-browser	3.5.0-1+grm3u3	gooroom-browser	3.5.0-1+grm3u3	arm64	True
gooroom-browser-l10n	3.5.0-1+grm3u3	reuse-all	gooroom-browser	3.5.0-1+grm3u3	gooroom-browser-l10n	3.5.0-1+grm3u3	all	True
gooroom-client-server-register	1.1.1+han3u1	reuse-all	gooroom-client-server-register	1.1.1+han3u1	gooroom-client-server-register	1.1.1+han3u1	all	True
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	gooroom-dockbarx	1.3.0+grm3u3	gooroom-dockbarx	1.3.0+grm3u3	all	True
gooroom-dockbarx-common	1.3.0+grm3u3	reuse-all	gooroom-dockbarx	1.3.0+grm3u3	gooroom-dockbarx-common	1.3.0+grm3u3	all	True
gooroom-dockbarx-dockx	1.3.0+grm3u3	reuse-all	gooroom-dockbarx	1.3.0+grm3u3	gooroom-dockbarx-dockx	1.3.0+grm3u3	all	True
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	gooroom-icon-themes	1.3.6+grm3u1+han3u2	gooroom-icon-themes	1.3.6+grm3u1+han3u2	all	True
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	gooroom-indicator-applet	0.3.0+grm3u1	gooroom-indicator-applet	0.3.0+grm3u1	arm64	True
gooroom-info	3.3.0+grm3u1	reuse-all	gooroom-info	3.3.0+grm3u1	gooroom-info	3.3.0+grm3u1	all	True
gooroom-libsecurity-extensions	0.1.7+grm3u1	rebuild-arm64	gooroom-libsecurity-extensions	0.1.7+grm3u1	gooroom-libsecurity-extensions	0.1.7+grm3u1	arm64	True
gooroom-logout	0.3.0+grm3u1	rebuild-arm64	gooroom-logout	0.3.0+grm3u1	gooroom-logout	0.3.0+grm3u1	arm64	True
gooroom-notice-applet	0.3.4+grm3u1	rebuild-arm64	gooroom-notice-applet	0.3.4+grm3u1	gooroom-notice-applet	0.3.4+grm3u1	arm64	True
gooroom-notifyd	0.5.0+grm3u1	rebuild-arm64	gooroom-notifyd	0.5.0+grm3u1	gooroom-notifyd	0.5.0+grm3u1	arm64	True
gooroom-security-status-tools	0.3.9+grm3u1	rebuild-arm64	gooroom-security-status-tools	0.3.9+grm3u1	gooroom-security-status-tools	0.3.9+grm3u1	arm64	True
gooroom-security-utils	0.3.7+grm3u1	reuse-all	gooroom-security-utils	0.3.7+grm3u1	gooroom-security-utils	0.3.7+grm3u1	all	True
gooroom-showdesktop-applet	0.2.0+grm3u1	rebuild-arm64	gooroom-showdesktop-applet	0.2.0+grm3u1	gooroom-showdesktop-applet	0.2.0+grm3u1	arm64	True
gooroom-software	3.30.6+5+grm3u6	rebuild-arm64	gooroom-software	3.30.6+5+grm3u6	gooroom-software	3.30.6+5+grm3u6	arm64	True
gooroom-software-common	3.30.6+5+grm3u6	reuse-all	gooroom-software	3.30.6+5+grm3u6	gooroom-software-common	3.30.6+5+grm3u6	all	True
gooroom-software-plugin-flatpak	3.30.6+5+grm3u6	rebuild-arm64	gooroom-software	3.30.6+5+grm3u6	gooroom-software-plugin-flatpak	3.30.6+5+grm3u6	arm64	True
gooroom-translations	20230728+han3u1	reuse-all	gooroom-translations	20230728+han3u1	gooroom-translations	20230728+han3u1	all	True
gooroom-update	1.3.3+grm3u1	reuse-all	gooroom-update	1.3.3+grm3u1	gooroom-update	1.3.3+grm3u1	all	True
gooroom-yelp-adjustments	0.3.10+han3u1	reuse-all	gooroom-yelp-adjustments	0.3.10+han3u1	gooroom-yelp-adjustments	0.3.10+han3u1	all	True
gooroomsystem	1.1.3+grm3u1	reuse-all	gooroomsystem	1.1.3+grm3u1	gooroomsystem	1.1.3+grm3u1	all	True
gpart	1:0.3-8	exact-arm64	gpart	1:0.3-8	gpart	1:0.3-8	arm64	False
gparted	1.2.0-1	exact-arm64	gparted	1.2.0-1	gparted	1.2.0-1	arm64	False
gparted-common	1.2.0-1	reuse-all	gparted	1.2.0-1	gparted-common	1.2.0-1	all	False
gpg	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpg	2.2.27-2+deb11u2	arm64	False
gpg-agent	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpg-agent	2.2.27-2+deb11u2	arm64	False
gpg-wks-client	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpg-wks-client	2.2.27-2+deb11u2	arm64	False
gpg-wks-server	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpg-wks-server	2.2.27-2+deb11u2	arm64	False
gpgconf	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpgconf	2.2.27-2+deb11u2	arm64	False
gpgsm	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpgsm	2.2.27-2+deb11u2	arm64	False
gpgv	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gpgv	2.2.27-2+deb11u2	arm64	False
grac-device-daemon	1.4.9+grm3u1	reuse-all	gooroom-resource-access-control	1.4.9+grm3u1	grac-device-daemon	1.4.9+grm3u1	all	True
grac-editor	1.4.9+grm3u1	reuse-all	gooroom-resource-access-control	1.4.9+grm3u1	grac-editor	1.4.9+grm3u1	all	True
grep	3.6-1+deb11u1	exact-arm64	grep	3.6-1+deb11u1	grep	3.6-1+deb11u1	arm64	False
groff-base	1.22.4-6	exact-arm64	groff	1.22.4-6	groff-base	1.22.4-6	arm64	False
grub-common	2.06-3~deb11u5	exact-arm64	grub2	2.06-3~deb11u5	grub-common	2.06-3~deb11u5	arm64	False
grub-pc	2.06-3~deb11u5	arch-replace	grub2	2.06-3~deb11u5	grub-efi-arm64	2.06-3~deb11u5	arm64	False
grub-pc-bin	2.06-3~deb11u5	arch-replace	grub2	2.06-3~deb11u5	grub-efi-arm64-bin	2.06-3~deb11u5	arm64	False
grub2-common	2.06-3~deb11u5	exact-arm64	grub2	2.06-3~deb11u5	grub2-common	2.06-3~deb11u5	arm64	False
gsettings-desktop-schemas	3.38.0-2	reuse-all	gsettings-desktop-schemas	3.38.0-2	gsettings-desktop-schemas	3.38.0-2	all	False
gstreamer1.0-clutter-3.0	3.0.27-2	exact-arm64	clutter-gst-3.0	3.0.27-2	gstreamer1.0-clutter-3.0	3.0.27-2	arm64	False
gstreamer1.0-libav	1.18.4-3	exact-arm64	gst-libav1.0	1.18.4-3	gstreamer1.0-libav	1.18.4-3	arm64	False
gstreamer1.0-nice	0.1.16-1	exact-arm64	libnice	0.1.16-1	gstreamer1.0-nice	0.1.16-1	arm64	False
gstreamer1.0-plugins-bad	1.18.4-3+deb11u1	exact-arm64	gst-plugins-bad1.0	1.18.4-3+deb11u1	gstreamer1.0-plugins-bad	1.18.4-3+deb11u1	arm64	False
gstreamer1.0-plugins-base	1.18.4-2+deb11u1	exact-arm64	gst-plugins-base1.0	1.18.4-2+deb11u1	gstreamer1.0-plugins-base	1.18.4-2+deb11u1	arm64	False
gstreamer1.0-plugins-good	1.18.4-2+deb11u2	exact-arm64	gst-plugins-good1.0	1.18.4-2+deb11u2	gstreamer1.0-plugins-good	1.18.4-2+deb11u2	arm64	False
gstreamer1.0-plugins-ugly	1.18.4-2	exact-arm64	gst-plugins-ugly1.0	1.18.4-2	gstreamer1.0-plugins-ugly	1.18.4-2	arm64	False
gstreamer1.0-pulseaudio	1.18.4-2+deb11u2	exact-arm64	gst-plugins-good1.0	1.18.4-2+deb11u2	gstreamer1.0-pulseaudio	1.18.4-2+deb11u2	arm64	False
gstreamer1.0-x	1.18.4-2+deb11u1	exact-arm64	gst-plugins-base1.0	1.18.4-2+deb11u1	gstreamer1.0-x	1.18.4-2+deb11u1	arm64	False
gtk-update-icon-cache	3.24.24-4+grm3u2	rebuild-arm64	gtk+3.0	3.24.24-4+grm3u2	gtk-update-icon-cache	3.24.24-4+grm3u2	arm64	True
gtk2-engines-murrine	0.98.2-3	exact-arm64	gtk2-engines-murrine	0.98.2-3	gtk2-engines-murrine	0.98.2-3	arm64	False
gtk2-engines-pixbuf	2.24.33-2+grm3u1	rebuild-arm64	gtk+2.0	2.24.33-2+grm3u1	gtk2-engines-pixbuf	2.24.33-2+grm3u1	arm64	True
gvfs	1.46.2-1	exact-arm64	gvfs	1.46.2-1	gvfs	1.46.2-1	arm64	False
gvfs-backends	1.46.2-1	exact-arm64	gvfs	1.46.2-1	gvfs-backends	1.46.2-1	arm64	False
gvfs-common	1.46.2-1	reuse-all	gvfs	1.46.2-1	gvfs-common	1.46.2-1	all	False
gvfs-daemons	1.46.2-1	exact-arm64	gvfs	1.46.2-1	gvfs-daemons	1.46.2-1	arm64	False
gvfs-libs	1.46.2-1	exact-arm64	gvfs	1.46.2-1	gvfs-libs	1.46.2-1	arm64	False
gzip	1.10-4+deb11u1	exact-arm64	gzip	1.10-4+deb11u1	gzip	1.10-4+deb11u1	arm64	False
hancom-gooroom-themepack	0.3.3+han3u1	reuse-all	hancom-gooroom-themepack	0.3.3+han3u1	hancom-gooroom-themepack	0.3.3+han3u1	all	True
hancom-toolkit	0.3.3+han3u1	rebuild-arm64	hancom-toolkit	0.3.3+han3u1	hancom-toolkit	0.3.3+han3u1	arm64	True
hancom-viewer-installer	0.2.2+han3u1	rebuild-arm64	hancom-viewer-installer	0.2.2+han3u1	hancom-viewer-installer	0.2.2+han3u1	arm64	True
hancomgrm-adjustments-utils	0.3.3+han3u1	rebuild-arm64	hancomgrm-adjustments-utils	0.3.3+han3u1	hancomgrm-adjustments-utils	0.3.3+han3u1	arm64	True
hicolor-icon-theme	0.17-2	reuse-all	hicolor-icon-theme	0.17-2	hicolor-icon-theme	0.17-2	all	False
hostname	3.23	exact-arm64	hostname	3.23	hostname	3.23	arm64	False
hp-ppd	0.9+nmu1	reuse-all	hp-ppd	0.9+nmu1	hp-ppd	0.9+nmu1	all	False
hpijs-ppds	3.21.2+dfsg1-2	reuse-all	hplip	3.21.2+dfsg1-2	hpijs-ppds	3.21.2+dfsg1-2	all	False
hunspell-en-us	1:2019.10.06-1	reuse-all	scowl	2019.10.06-1	hunspell-en-us	1:2019.10.06-1	all	False
ieee-data	20210605.1	reuse-all	ieee-data	20210605.1	ieee-data	20210605.1	all	False
ifupdown	0.8.36	exact-arm64	ifupdown	0.8.36	ifupdown	0.8.36	arm64	False
im-config	0.46-1+deb11u1	reuse-all	im-config	0.46-1+deb11u1	im-config	0.46-1+deb11u1	all	False
init	1.60	exact-arm64	init-system-helpers	1.60	init	1.60	arm64	False
init-system-helpers	1.60	reuse-all	init-system-helpers	1.60	init-system-helpers	1.60	all	False
initramfs-tools	0.140	reuse-all	initramfs-tools	0.140	initramfs-tools	0.140	all	False
initramfs-tools-core	0.140	reuse-all	initramfs-tools	0.140	initramfs-tools-core	0.140	all	False
insserv	1.21.0-1.1	exact-arm64	insserv	1.21.0-1.1	insserv	1.21.0-1.1	arm64	False
iproute2	5.10.0-4	exact-arm64	iproute2	5.10.0-4	iproute2	5.10.0-4	arm64	False
iptables	1.8.7-1	exact-arm64	iptables	1.8.7-1	iptables	1.8.7-1	arm64	False
iputils-ping	3:20210202-1	exact-arm64	iputils	3:20210202-1	iputils-ping	3:20210202-1	arm64	False
isc-dhcp-client	4.4.1-2.3+deb11u2	exact-arm64	isc-dhcp	4.4.1-2.3+deb11u2	isc-dhcp-client	4.4.1-2.3+deb11u2	arm64	False
isc-dhcp-common	4.4.1-2.3+deb11u2	exact-arm64	isc-dhcp	4.4.1-2.3+deb11u2	isc-dhcp-common	4.4.1-2.3+deb11u2	arm64	False
iso-codes	4.6.0-1	reuse-all	iso-codes	4.6.0-1	iso-codes	4.6.0-1	all	False
isoquery	3.2.4-1+deb11u1	exact-arm64	isoquery	3.2.4-1+deb11u1	isoquery	3.2.4-1+deb11u1	arm64	False
kbd	2.3.0-3	exact-arm64	kbd	2.3.0-3	kbd	2.3.0-3	arm64	False
keyboard-configuration	1.205	reuse-all	console-setup	1.205	keyboard-configuration	1.205	all	False
keyutils	1.6.1-2	exact-arm64	keyutils	1.6.1-2	keyutils	1.6.1-2	arm64	False
klibc-utils	2.0.8-6.1	exact-arm64	klibc	2.0.8-6.1	klibc-utils	2.0.8-6.1	arm64	False
kmod	28-1	exact-arm64	kmod	28-1	kmod	28-1	arm64	False
less	551-2	exact-arm64	less	551-2	less	551-2	arm64	False
liba52-0.7.4	0.7.4-20	exact-arm64	a52dec	0.7.4-20	liba52-0.7.4	0.7.4-20	arm64	False
libaa1	1.4p5-48	exact-arm64	aalib	1.4p5-48	libaa1	1.4p5-48	arm64	False
libaccountsservice0	0.6.55-3+grm3u1	rebuild-arm64	accountsservice	0.6.55-3+grm3u1	libaccountsservice0	0.6.55-3+grm3u1	arm64	True
libacl1	2.2.53-10	exact-arm64	acl	2.2.53-10	libacl1	2.2.53-10	arm64	False
libamtk-5-0	5.2.0-1	exact-arm64	amtk	5.2.0-1	libamtk-5-0	5.2.0-1	arm64	False
libamtk-5-common	5.2.0-1	reuse-all	amtk	5.2.0-1	libamtk-5-common	5.2.0-1	all	False
libaom0	1.0.0.errata1-3	exact-arm64	aom	1.0.0.errata1-3	libaom0	1.0.0.errata1-3	arm64	False
libapparmor1	2.13.6-10	exact-arm64	apparmor	2.13.6-10	libapparmor1	2.13.6-10	arm64	False
libappstream-glib8	0.7.18-1	exact-arm64	appstream-glib	0.7.18-1	libappstream-glib8	0.7.18-1	arm64	False
libappstream4	0.14.4-1	exact-arm64	appstream	0.14.4-1	libappstream4	0.14.4-1	arm64	False
libapt-pkg6.0	2.2.4	exact-arm64	apt	2.2.4	libapt-pkg6.0	2.2.4	arm64	False
libarchive13	3.4.3-2+deb11u1	exact-arm64	libarchive	3.4.3-2+deb11u1	libarchive13	3.4.3-2+deb11u1	arm64	False
libargon2-1	0~20171227-0.2	exact-arm64	argon2	0~20171227-0.2	libargon2-1	0~20171227-0.2	arm64	False
libasound2	1.2.4-1.1	exact-arm64	alsa-lib	1.2.4-1.1	libasound2	1.2.4-1.1	arm64	False
libasound2-data	1.2.4-1.1	reuse-all	alsa-lib	1.2.4-1.1	libasound2-data	1.2.4-1.1	all	False
libasound2-plugins	1.2.2-2	exact-arm64	alsa-plugins	1.2.2-2	libasound2-plugins	1.2.2-2	arm64	False
libaspell15	0.60.8-3	exact-arm64	aspell	0.60.8-3	libaspell15	0.60.8-3	arm64	False
libass9	1:0.15.0-2	exact-arm64	libass	1:0.15.0-2	libass9	1:0.15.0-2	arm64	False
libassuan0	2.5.3-7.1	exact-arm64	libassuan	2.5.3-7.1	libassuan0	2.5.3-7.1	arm64	False
libasyncns0	0.8-6+b2	exact-arm64	libasyncns	0.8-6	libasyncns0	0.8-6+b2	arm64	False
libatasmart4	0.19-5	exact-arm64	libatasmart	0.19-5	libatasmart4	0.19-5	arm64	False
libatk-bridge2.0-0	2.38.0-1	exact-arm64	at-spi2-atk	2.38.0-1	libatk-bridge2.0-0	2.38.0-1	arm64	False
libatk1.0-0	2.36.0-2	exact-arm64	atk1.0	2.36.0-2	libatk1.0-0	2.36.0-2	arm64	False
libatk1.0-data	2.36.0-2	reuse-all	atk1.0	2.36.0-2	libatk1.0-data	2.36.0-2	all	False
libatkmm-1.6-1v5	2.28.0-3	exact-arm64	atkmm1.6	2.28.0-3	libatkmm-1.6-1v5	2.28.0-3	arm64	False
libatomic1	10.2.1-6	exact-arm64	gcc-10	10.2.1-6	libatomic1	10.2.1-6	arm64	False
libatopology2	1.2.4-1.1	exact-arm64	alsa-lib	1.2.4-1.1	libatopology2	1.2.4-1.1	arm64	False
libatspi2.0-0	2.38.0-4+deb11u1	exact-arm64	at-spi2-core	2.38.0-4+deb11u1	libatspi2.0-0	2.38.0-4+deb11u1	arm64	False
libattr1	1:2.4.48-6	exact-arm64	attr	1:2.4.48-6	libattr1	1:2.4.48-6	arm64	False
libaudit-common	1:3.0-2	reuse-all	audit	1:3.0-2	libaudit-common	1:3.0-2	all	False
libaudit1	1:3.0-2	exact-arm64	audit	1:3.0-2	libaudit1	1:3.0-2	arm64	False
libavahi-client3	0.8-5+deb11u2	exact-arm64	avahi	0.8-5+deb11u2	libavahi-client3	0.8-5+deb11u2	arm64	False
libavahi-common-data	0.8-5+deb11u2	exact-arm64	avahi	0.8-5+deb11u2	libavahi-common-data	0.8-5+deb11u2	arm64	False
libavahi-common3	0.8-5+deb11u2	exact-arm64	avahi	0.8-5+deb11u2	libavahi-common3	0.8-5+deb11u2	arm64	False
libavahi-glib1	0.8-5+deb11u2	exact-arm64	avahi	0.8-5+deb11u2	libavahi-glib1	0.8-5+deb11u2	arm64	False
libavc1394-0	0.5.4-5	exact-arm64	libavc1394	0.5.4-5	libavc1394-0	0.5.4-5	arm64	False
libavcodec58	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libavcodec58	7:4.3.6-0+deb11u1	arm64	False
libavdevice58	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libavdevice58	7:4.3.6-0+deb11u1	arm64	False
libavfilter7	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libavfilter7	7:4.3.6-0+deb11u1	arm64	False
libavformat58	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libavformat58	7:4.3.6-0+deb11u1	arm64	False
libavresample4	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libavresample4	7:4.3.6-0+deb11u1	arm64	False
libavutil56	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libavutil56	7:4.3.6-0+deb11u1	arm64	False
libayatana-appindicator3-1	0.5.5-2+deb11u2	exact-arm64	libayatana-appindicator	0.5.5-2+deb11u2	libayatana-appindicator3-1	0.5.5-2+deb11u2	arm64	False
libayatana-ido3-0.4-0	0.8.2-1	exact-arm64	ayatana-ido	0.8.2-1	libayatana-ido3-0.4-0	0.8.2-1	arm64	False
libayatana-indicator3-7	0.8.4-1+deb11u2	exact-arm64	libayatana-indicator	0.8.4-1+deb11u2	libayatana-indicator3-7	0.8.4-1+deb11u2	arm64	False
libb64-0d	1.2-5+b1	exact-arm64	libb64	1.2-5	libb64-0d	1.2-5+b1	arm64	False
libbinutils	2.35.2-2	exact-arm64	binutils	2.35.2-2	libbinutils	2.35.2-2	arm64	False
libblas3	3.9.0-3	exact-arm64	lapack	3.9.0-3	libblas3	3.9.0-3	arm64	False
libblkid1	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	libblkid1	2.36.1-8+deb11u1	arm64	False
libblockdev-crypto2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-crypto2	2.25-2	arm64	False
libblockdev-fs2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-fs2	2.25-2	arm64	False
libblockdev-loop2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-loop2	2.25-2	arm64	False
libblockdev-mdraid2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-mdraid2	2.25-2	arm64	False
libblockdev-part-err2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-part-err2	2.25-2	arm64	False
libblockdev-part2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-part2	2.25-2	arm64	False
libblockdev-swap2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-swap2	2.25-2	arm64	False
libblockdev-utils2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev-utils2	2.25-2	arm64	False
libblockdev2	2.25-2	exact-arm64	libblockdev	2.25-2	libblockdev2	2.25-2	arm64	False
libbluetooth3	5.55-3.1	exact-arm64	bluez	5.55-3.1	libbluetooth3	5.55-3.1	arm64	False
libbluray2	1:1.2.1-4+deb11u2	exact-arm64	libbluray	1:1.2.1-4+deb11u2	libbluray2	1:1.2.1-4+deb11u2	arm64	False
libboost-iostreams1.74.0	1.74.0-9	exact-arm64	boost1.74	1.74.0-9	libboost-iostreams1.74.0	1.74.0-9	arm64	False
libbpf0	1:0.3-2	exact-arm64	libbpf	0.3-2	libbpf0	1:0.3-2	arm64	False
libbrotli1	1.0.9-2+b2	exact-arm64	brotli	1.0.9-2	libbrotli1	1.0.9-2+b2	arm64	False
libbs2b0	3.1.0+dfsg-2.2+b1	exact-arm64	libbs2b	3.1.0+dfsg-2.2	libbs2b0	3.1.0+dfsg-2.2+b1	arm64	False
libbsd0	0.11.3-1	exact-arm64	libbsd	0.11.3-1	libbsd0	0.11.3-1	arm64	False
libbytesize-common	2.5-1	reuse-all	libbytesize	2.5-1	libbytesize-common	2.5-1	all	False
libbytesize1	2.5-1	exact-arm64	libbytesize	2.5-1	libbytesize1	2.5-1	arm64	False
libbz2-1.0	1.0.8-4	exact-arm64	bzip2	1.0.8-4	libbz2-1.0	1.0.8-4	arm64	False
libc-bin	2.31-13+deb11u6	exact-arm64	glibc	2.31-13+deb11u6	libc-bin	2.31-13+deb11u6	arm64	False
libc-l10n	2.31-13+deb11u6	reuse-all	glibc	2.31-13+deb11u6	libc-l10n	2.31-13+deb11u6	all	False
libc6	2.31-13+deb11u6	exact-arm64	glibc	2.31-13+deb11u6	libc6	2.31-13+deb11u6	arm64	False
libcaca0	0.99.beta19-2.2	exact-arm64	libcaca	0.99.beta19-2.2	libcaca0	0.99.beta19-2.2	arm64	False
libcairo-gobject-perl	1.005-2+b2	exact-arm64	libcairo-gobject-perl	1.005-2	libcairo-gobject-perl	1.005-2+b2	arm64	False
libcairo-gobject2	1.16.0-5	exact-arm64	cairo	1.16.0-5	libcairo-gobject2	1.16.0-5	arm64	False
libcairo-perl	1.109-1	exact-arm64	libcairo-perl	1.109-1	libcairo-perl	1.109-1	arm64	False
libcairo2	1.16.0-5	exact-arm64	cairo	1.16.0-5	libcairo2	1.16.0-5	arm64	False
libcairomm-1.0-1v5	1.12.2-4	exact-arm64	cairomm	1.12.2-4	libcairomm-1.0-1v5	1.12.2-4	arm64	False
libcamel-1.2-62	3.38.3-1+deb11u2	exact-arm64	evolution-data-server	3.38.3-1+deb11u2	libcamel-1.2-62	3.38.3-1+deb11u2	arm64	False
libcanberra-gtk-module	0.30-7	exact-arm64	libcanberra	0.30-7	libcanberra-gtk-module	0.30-7	arm64	False
libcanberra-gtk0	0.30-7	exact-arm64	libcanberra	0.30-7	libcanberra-gtk0	0.30-7	arm64	False
libcanberra-gtk3-0	0.30-7	exact-arm64	libcanberra	0.30-7	libcanberra-gtk3-0	0.30-7	arm64	False
libcanberra-gtk3-module	0.30-7	exact-arm64	libcanberra	0.30-7	libcanberra-gtk3-module	0.30-7	arm64	False
libcanberra-pulse	0.30-7	exact-arm64	libcanberra	0.30-7	libcanberra-pulse	0.30-7	arm64	False
libcanberra0	0.30-7	exact-arm64	libcanberra	0.30-7	libcanberra0	0.30-7	arm64	False
libcap-ng0	0.7.9-2.2+b1	exact-arm64	libcap-ng	0.7.9-2.2	libcap-ng0	0.7.9-2.2+b1	arm64	False
libcap2	1:2.44-1	exact-arm64	libcap2	1:2.44-1	libcap2	1:2.44-1	arm64	False
libcap2-bin	1:2.44-1	exact-arm64	libcap2	1:2.44-1	libcap2-bin	1:2.44-1	arm64	False
libcdio-cdda2	10.2+2.0.0-1+b2	exact-arm64	libcdio-paranoia	10.2+2.0.0-1	libcdio-cdda2	10.2+2.0.0-1+b2	arm64	False
libcdio-paranoia2	10.2+2.0.0-1+b2	exact-arm64	libcdio-paranoia	10.2+2.0.0-1	libcdio-paranoia2	10.2+2.0.0-1+b2	arm64	False
libcdio19	2.1.0-2	exact-arm64	libcdio	2.1.0-2	libcdio19	2.1.0-2	arm64	False
libcdparanoia0	3.10.2+debian-13.1	exact-arm64	cdparanoia	3.10.2+debian-13.1	libcdparanoia0	3.10.2+debian-13.1	arm64	False
libcheese-gtk25	3.38.0-3	exact-arm64	cheese	3.38.0-3	libcheese-gtk25	3.38.0-3	arm64	False
libcheese8	3.38.0-3	exact-arm64	cheese	3.38.0-3	libcheese8	3.38.0-3	arm64	False
libchromaprint1	1.5.0-2	exact-arm64	chromaprint	1.5.0-2	libchromaprint1	1.5.0-2	arm64	False
libclutter-1.0-0	1.26.4+dfsg-2	exact-arm64	clutter-1.0	1.26.4+dfsg-2	libclutter-1.0-0	1.26.4+dfsg-2	arm64	False
libclutter-gst-3.0-0	3.0.27-2	exact-arm64	clutter-gst-3.0	3.0.27-2	libclutter-gst-3.0-0	3.0.27-2	arm64	False
libclutter-gtk-1.0-0	1.8.4-4	exact-arm64	clutter-gtk	1.8.4-4	libclutter-gtk-1.0-0	1.8.4-4	arm64	False
libcodec2-0.9	0.9.2-4	exact-arm64	codec2	0.9.2-4	libcodec2-0.9	0.9.2-4	arm64	False
libcogl-pango20	1.22.8-2	exact-arm64	cogl	1.22.8-2	libcogl-pango20	1.22.8-2	arm64	False
libcogl-path20	1.22.8-2	exact-arm64	cogl	1.22.8-2	libcogl-path20	1.22.8-2	arm64	False
libcogl20	1.22.8-2	exact-arm64	cogl	1.22.8-2	libcogl20	1.22.8-2	arm64	False
libcolord-gtk1	0.1.26-2	exact-arm64	colord-gtk	0.1.26-2	libcolord-gtk1	0.1.26-2	arm64	False
libcolord2	1.4.5-3	exact-arm64	colord	1.4.5-3	libcolord2	1.4.5-3	arm64	False
libcolorhug2	1.4.5-3	exact-arm64	colord	1.4.5-3	libcolorhug2	1.4.5-3	arm64	False
libcom-err2	1.46.2-2	exact-arm64	e2fsprogs	1.46.2-2	libcom-err2	1.46.2-2	arm64	False
libcrack2	2.9.6-3.4	exact-arm64	cracklib2	2.9.6-3.4	libcrack2	2.9.6-3.4	arm64	False
libcrypt1	1:4.4.18-4	exact-arm64	libxcrypt	1:4.4.18-4	libcrypt1	1:4.4.18-4	arm64	False
libcryptsetup12	2:2.3.7-1+deb11u1	exact-arm64	cryptsetup	2:2.3.7-1+deb11u1	libcryptsetup12	2:2.3.7-1+deb11u1	arm64	False
libctf-nobfd0	2.35.2-2	exact-arm64	binutils	2.35.2-2	libctf-nobfd0	2.35.2-2	arm64	False
libctf0	2.35.2-2	exact-arm64	binutils	2.35.2-2	libctf0	2.35.2-2	arm64	False
libcue2	2.2.1-3	exact-arm64	libcue	2.2.1-3	libcue2	2.2.1-3	arm64	False
libcups2	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	libcups2	2.3.3op2-3+deb11u2	arm64	False
libcupsfilters1	1.28.7-1+deb11u2	exact-arm64	cups-filters	1.28.7-1+deb11u2	libcupsfilters1	1.28.7-1+deb11u2	arm64	False
libcupsimage2	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	libcupsimage2	2.3.3op2-3+deb11u2	arm64	False
libcurl3-gnutls	7.74.0-1.3+deb11u7	exact-arm64	curl	7.74.0-1.3+deb11u7	libcurl3-gnutls	7.74.0-1.3+deb11u7	arm64	False
libcurl4	7.74.0-1.3+deb11u7	exact-arm64	curl	7.74.0-1.3+deb11u7	libcurl4	7.74.0-1.3+deb11u7	arm64	False
libcwidget4	0.5.18-5	exact-arm64	cwidget	0.5.18-5	libcwidget4	0.5.18-5	arm64	False
libdatrie1	0.2.13-1	exact-arm64	libdatrie	0.2.13-1	libdatrie1	0.2.13-1	arm64	False
libdav1d4	0.7.1-3	exact-arm64	dav1d	0.7.1-3	libdav1d4	0.7.1-3	arm64	False
