reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
firmware-intel-sound	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-intel-sound	20210315-3	all	False
firmware-intelwimax	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-intelwimax	20210315-3	all	False
firmware-ipw2x00	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-ipw2x00	20210315-3	all	False
firmware-ivtv	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-ivtv	20210315-3	all	False
firmware-iwlwifi	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-iwlwifi	20210315-3	all	False
firmware-libertas	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-libertas	20210315-3	all	False
firmware-linux	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-linux	20210315-3	all	False
firmware-linux-free	20200122-1	reuse-all	firmware-free	20200122-1	firmware-linux-free	20200122-1	all	False
firmware-linux-nonfree	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-linux-nonfree	20210315-3	all	False
firmware-misc-nonfree	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-misc-nonfree	20210315-3	all	False
firmware-myricom	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-myricom	20210315-3	all	False
firmware-netronome	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-netronome	20210315-3	all	False
firmware-netxen	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-netxen	20210315-3	all	False
firmware-qcom-media	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-qcom-media	20210315-3	all	False
firmware-qcom-soc	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-qcom-soc	20210315-3	all	False
firmware-qlogic	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-qlogic	20210315-3	all	False
firmware-realtek	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-realtek	20210315-3	all	False
firmware-samsung	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-samsung	20210315-3	all	False
firmware-siano	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-siano	20210315-3	all	False
